Date,Nairobi,Date,Mombasa,Date,Baringo,Date,Bomet,Date,Bungoma,Date,Busia,Date,Elgeyo-Marakwet,Date,Embu,Date,Garisa,Date,HomaBay,Date,Isiolo,Date,Kajiado,Date,Kakamega,Date,Kericho,Date,Kiambu,Date,Kilifi,Date,Kirinyaga,Date,Kisii,Date,kisumu,Date,Kitui,Date,Kwale,Date,Laikipia,Date,Lamu,Date,Machakos,Date,Makueni,Date,Mandera,Date,Marsabit,Date,Meru,Date,Migori,Date,Murang'a,Date,Nakuru,Date,Nandi,Date,Narok,Date,Nyamira,Date,Nyandarua,Date,Nyeri,Date,Samburu,Date,Siaya,Date,Taita Taveta,Date,Tharaka-Nithi,Date,Trans Nzoia,Date,Turkana,Date,Uasin Gishu,Date,Vihiga,Date,Wajir,Date,West pokot
11.04.2020,1,01.05.2020,3,,,15.10.2020,1,,,16.02.2021,12,,,23.02.2021,1,06.09.2020,1,24.12.2020,1,14.07.2021,1,13.07.2020,1,30.10.2020,1,22.10.2020,4,19.06.2020,1,13.11.2020,2,17.11.2020,2,02.10.2020,1,29.10.2020,1,10.11.2020,1,30.06.2021,1,25.03.2021,1,,,03.08.2020,1,02.12.2020,1,22.03.2021,1,,,28.10.2020,2,20.10.2020,1,04.09.2020,1,27.07.2020,2,12.04.2021,1,03.10.2020,1,,,10.03.2021,4,21.08.2020,1,,,07.12.2020,1,02.04.2021,1,,,,,30.11.2020,3,11.09.2020,1,08.06.2021,1,,,,
12.04.2020,2,02.05.2020,2,,,21.10.2020,1,,,27.02.2021,6,,,28.02.2021,1,05.10.2020,1,08.01.2021,1,,,14.07.2020,1,02.11.2020,1,23.10.2020,3,23.06.2020,1,27.11.2020,1,18.11.2020,2,09.10.2020,1,08.11.2020,1,17.11.2020,1,,,04.06.2021,1,,,05.08.2020,1,03.12.2020,1,25.03.2021,1,,,01.11.2020,1,24.10.2020,1,11.10.2020,1,01.08.2020,1,08.06.2021,1,18.10.2020,1,,,11.03.2021,1,16.10.2020,1,,,09.12.2020,1,04.04.2021,1,,,,,25.12.2020,2,12.09.2020,1,17.06.2021,1,,,,
14.04.2020,1,06.05.2020,1,,,25.10.2020,1,,,02.03.2021,10,,,03.04.2021,1,06.10.2020,1,09.01.2021,1,,,22.07.2020,1,03.11.2020,1,28.10.2020,3,24.06.2020,1,28.11.2020,1,21.11.2020,1,10.10.2020,1,09.11.2020,1,19.11.2020,1,,,09.06.2021,1,,,11.08.2020,1,05.12.2020,1,27.03.2021,1,,,02.11.2020,2,05.11.2020,1,20.10.2020,1,10.08.2020,1,11.06.2021,1,06.01.2021,1,,,13.03.2021,1,28.10.2020,1,,,11.12.2020,1,07.04.2021,1,,,,,10.03.2021,2,15.09.2020,1,,,,,,
15.04.2020,1,07.05.2020,2,,,28.10.2020,1,,,03.03.2021,3,,,04.04.2021,1,07.10.2020,1,14.01.2021,1,,,26.07.2020,3,04.11.2020,2,04.11.2020,1,25.06.2020,1,02.12.2020,2,23.11.2020,1,14.10.2020,1,15.11.2020,1,30.11.2020,1,,,06.07.2021,1,,,12.08.2020,4,16.12.2020,1,29.03.2021,1,,,05.11.2020,1,23.03.2021,1,28.10.2020,1,14.08.2020,3,19.06.2021,1,01.02.2021,1,,,14.03.2021,1,07.11.2020,1,,,14.12.2020,1,12.04.2021,1,,,,,19.03.2021,1,17.09.2020,1,,,,,,
18.04.2020,2,08.05.2020,3,,,29.10.2020,1,,,06.03.2021,1,,,15.04.2021,1,13.10.2020,1,24.04.2021,1,,,27.07.2020,2,06.11.2020,1,06.11.2020,4,26.06.2020,2,03.12.2020,1,01.12.2020,1,22.10.2020,1,11.01.2021,1,16.12.2020,1,,,02.08.2021,1,,,14.08.2020,3,27.02.2021,1,13.04.2021,1,,,13.11.2020,1,07.04.2021,1,31.10.2020,1,22.08.2020,2,16.07.2021,1,19.03.2021,1,,,15.03.2021,1,09.11.2020,1,,,29.01.2021,1,15.04.2021,1,,,,,15.04.2021,1,19.09.2020,2,,,,,,
19.04.2020,2,10.05.2020,3,,,30.10.2020,1,,,11.03.2021,6,,,03.05.2021,1,28.10.2020,1,05.05.2021,1,,,28.07.2020,3,10.11.2020,1,09.11.2020,1,27.06.2020,2,14.12.2020,26,02.12.2020,1,23.10.2020,4,24.01.2021,1,25.12.2020,1,,,,,,,15.08.2020,1,18.03.2021,1,17.04.2021,1,,,15.11.2020,2,09.04.2021,2,01.11.2020,2,23.08.2020,3,24.07.2021,1,28.03.2021,1,,,22.03.2021,2,17.11.2020,2,,,11.03.2021,1,18.04.2021,2,,,,,,,21.09.2020,1,,,,,,
27.04.2020,2,11.05.2020,1,,,04.11.2020,2,,,04.04.2021,1,,,08.05.2021,1,11.11.2020,1,09.05.2021,1,,,31.07.2020,1,11.11.2020,1,10.11.2020,2,02.07.2020,1,25.12.2020,1,07.12.2020,1,25.10.2020,1,02.02.2021,1,08.01.2021,1,,,,,,,20.08.2020,1,22.03.2021,1,19.04.2021,1,,,17.11.2020,1,15.04.2021,1,04.11.2020,1,29.08.2020,1,25.07.2021,1,23.06.2021,1,,,26.03.2021,1,20.11.2020,1,,,18.03.2021,2,20.04.2021,1,,,,,,,23.09.2020,2,,,,,,
29.04.2020,1,12.05.2020,1,,,05.11.2020,1,,,15.04.2021,1,,,24.05.2021,1,22.11.2020,1,17.05.2021,1,,,07.08.2020,1,14.11.2020,1,12.11.2020,2,03.07.2020,2,15.01.2021,1,28.12.2020,1,26.10.2020,1,15.02.2021,1,10.01.2021,1,,,,,,,24.08.2020,1,24.03.2021,1,20.04.2021,2,,,18.11.2020,1,29.04.2021,4,17.11.2020,1,18.09.2020,1,09.08.2021,2,06.08.2021,1,,,29.03.2021,4,23.11.2020,1,,,19.03.2021,1,22.04.2021,2,,,,,,,25.09.2020,1,,,,,,
30.04.2020,3,13.05.2020,1,,,06.11.2020,2,,,12.05.2021,1,,,25.05.2021,1,28.11.2020,1,19.05.2021,1,,,11.08.2020,2,17.11.2020,2,13.11.2020,3,08.07.2020,4,02.04.2021,2,30.03.2021,1,02.11.2020,1,06.03.2021,1,13.01.2021,1,,,,,,,02.09.2020,1,25.03.2021,1,21.04.2021,1,,,20.11.2020,3,09.05.2021,1,18.11.2020,1,23.09.2020,3,10.08.2021,1,09.08.2021,1,,,30.03.2021,1,24.11.2020,1,,,26.03.2021,1,26.04.2021,1,,,,,,,29.09.2020,1,,,,,,
01.05.2020,3,14.05.2020,1,,,11.11.2020,1,,,20.05.2021,1,,,01.06.2021,1,06.03.2021,1,20.05.2021,2,,,16.08.2020,2,18.11.2020,2,17.11.2020,1,09.07.2020,1,26.04.2021,1,31.03.2021,1,05.11.2020,1,22.03.2021,1,21.01.2021,1,,,,,,,23.09.2020,1,26.03.2021,1,23.04.2021,1,,,22.11.2020,1,10.05.2021,1,25.11.2020,1,25.09.2020,2,23.08.2021,1,,,,,31.03.2021,1,25.11.2020,1,,,13.04.2021,1,29.04.2021,1,,,,,,,03.10.2020,1,,,,,,
