Date,Nairobi,Date,Mombasa,Date,Baringo,Date,Bomet,Date,Bungoma,Date,Busia,Date,Elgeyo-Marakwet,Date,Embu,Date,Garisa,Date,HomaBay,Date,Isiolo,Date,Kajiado,Date,Kakamega,Date,Kericho,Date,Kiambu,Date,Kilifi,Date,Kirinyaga,Date,Kisii,Date,kisumu,Date,Kitui,Date,Kwale,Date,Laikipia,Date,Lamu,Date,Machakos,Date,Makueni,Date,Mandera,Date,Marsabit,Date,Meru,Date,Migori,Date,Murang'a,Date,Nakuru,Date,Nandi,Date,Narok,Date,Nyamira,Date,Nyandarua,Date,Nyeri,Date,Samburu,Date,Siaya,Date,Taita Taveta,Date,Tharaka-Nithi,Date,Trans Nzoia,Date,Turkana,Date,Uasin Gishu,Date,Vihiga,Date,Wajir,Date,West pokot
30.05.2020,1,18.06.2020,1,,,,,,,,,,,,,05.07.2021,1,22.06.2021,3,,,01.04.2021,1,09.06.2021,1,19.05.2021,1,06.08.2020,1,,,,,05.05.2021,1,,,14.04.2021,2,,,,,,,06.12.2020,1,04.05.2021,1,,,,,03.04.2021,1,,,24.03.2021,1,29.10.2020,2,,,,,,,,,27.03.2021,2,,,19.06.2021,1,,,,,,,,,30.10.2020,2,,,,,,
31.05.2020,4,19.06.2020,2,,,,,,,,,,,,,06.07.2021,1,25.06.2021,1,,,08.04.2021,1,10.06.2021,3,16.07.2021,1,07.08.2020,1,,,,,10.05.2021,1,,,15.04.2021,1,,,,,,,07.12.2020,1,05.05.2021,3,,,,,05.04.2021,2,,,28.03.2021,1,01.11.2020,4,,,,,,,,,28.03.2021,2,,,25.06.2021,2,,,,,,,,,31.10.2020,1,,,,,,
01.06.2020,1,21.06.2020,1,,,,,,,,,,,,,07.07.2021,1,27.06.2021,1,,,10.04.2021,1,14.06.2021,1,,,08.08.2020,3,,,,,11.05.2021,2,,,19.04.2021,1,,,,,,,08.12.2020,1,10.05.2021,1,,,,,06.04.2021,2,,,29.03.2021,1,02.11.2020,1,,,,,,,,,30.03.2021,2,,,29.06.2021,2,,,,,,,,,01.11.2020,1,,,,,,
02.06.2020,5,24.06.2020,1,,,,,,,,,,,,,19.07.2021,1,01.07.2021,2,,,13.04.2021,1,16.06.2021,2,,,10.08.2020,2,,,,,12.05.2021,2,,,22.04.2021,1,,,,,,,10.12.2020,1,24.05.2021,1,,,,,07.04.2021,2,,,30.03.2021,3,03.11.2020,6,,,,,,,,,31.03.2021,3,,,01.07.2021,1,,,,,,,,,05.11.2020,1,,,,,,
03.06.2020,1,29.06.2020,1,,,,,,,,,,,,,21.07.2021,1,14.07.2021,1,,,19.04.2021,1,17.06.2021,3,,,11.08.2020,4,,,,,13.05.2021,1,,,23.04.2021,1,,,,,,,13.12.2020,1,27.05.2021,1,,,,,08.04.2021,4,,,01.04.2021,1,05.11.2020,2,,,,,,,,,01.04.2021,1,,,03.07.2021,1,,,,,,,,,06.11.2020,1,,,,,,
04.06.2020,3,30.06.2020,1,,,,,,,,,,,,,01.08.2021,2,17.07.2021,2,,,21.04.2021,1,18.06.2021,1,,,12.08.2020,4,,,,,17.05.2021,1,,,28.04.2021,1,,,,,,,19.12.2020,1,31.05.2021,1,,,,,09.04.2021,1,,,06.04.2021,1,07.11.2020,1,,,,,,,,,02.04.2021,3,,,07.07.2021,1,,,,,,,,,08.11.2020,4,,,,,,
05.06.2020,4,01.07.2020,2,,,,,,,,,,,,,02.08.2021,1,21.07.2021,3,,,24.04.2021,1,19.06.2021,3,,,14.08.2020,2,,,,,23.05.2021,2,,,29.04.2021,1,,,,,,,03.01.2021,1,02.06.2021,1,,,,,10.04.2021,1,,,10.04.2021,1,08.11.2020,3,,,,,,,,,05.04.2021,1,,,08.07.2021,1,,,,,,,,,09.11.2020,3,,,,,,
06.06.2020,2,05.07.2020,4,,,,,,,,,,,,,04.08.2021,1,22.07.2021,1,,,27.04.2021,1,21.06.2021,1,,,16.08.2020,1,,,,,24.05.2021,1,,,05.05.2021,1,,,,,,,04.01.2021,3,05.06.2021,1,,,,,11.04.2021,1,,,11.04.2021,1,09.11.2020,5,,,,,,,,,06.04.2021,1,,,12.07.2021,1,,,,,,,,,10.11.2020,1,,,,,,
07.06.2020,3,06.07.2020,1,,,,,,,,,,,,,05.08.2021,1,23.07.2021,1,,,22.05.2021,1,22.06.2021,1,,,17.08.2020,2,,,,,25.05.2021,2,,,06.05.2021,3,,,,,,,15.02.2021,1,07.06.2021,1,,,,,13.04.2021,2,,,13.04.2021,1,10.11.2020,1,,,,,,,,,07.04.2021,2,,,14.07.2021,1,,,,,,,,,11.11.2020,1,,,,,,
08.06.2020,6,08.07.2020,1,,,,,,,,,,,,,06.08.2021,1,29.07.2021,1,,,26.07.2021,1,24.06.2021,1,,,18.08.2020,1,,,,,28.05.2021,1,,,07.05.2021,1,,,,,,,19.02.2021,1,08.07.2021,2,,,,,21.04.2021,1,,,14.04.2021,1,11.11.2020,1,,,,,,,,,10.04.2021,2,,,15.07.2021,1,,,,,,,,,12.11.2020,3,,,,,,
09.06.2020,8,10.07.2020,1,,,,,,,,,,,,,07.08.2021,1,,,,,27.07.2021,2,25.06.2021,1,,,20.08.2020,2,,,,,02.06.2021,3,,,12.05.2021,1,,,,,,,22.02.2021,1,26.07.2021,1,,,,,22.04.2021,1,,,16.04.2021,1,12.11.2020,1,,,,,,,,,16.04.2021,1,,,16.07.2021,1,,,,,,,,,13.11.2020,1,,,,,,
10.06.2020,4,11.07.2020,1,,,,,,,,,,,,,10.08.2021,1,,,,,28.07.2021,1,04.07.2021,1,,,23.08.2020,1,,,,,04.06.2021,1,,,17.05.2021,1,,,,,,,24.02.2021,1,29.07.2021,1,,,,,24.04.2021,1,,,21.04.2021,1,13.11.2020,2,,,,,,,,,18.04.2021,2,,,,,,,,,,,,,14.11.2020,1,,,,,,
11.06.2020,4,12.07.2020,2,,,,,,,,,,,,,11.08.2021,1,,,,,29.07.2021,1,08.07.2021,1,,,24.08.2020,2,,,,,05.06.2021,2,,,24.05.2021,1,,,,,,,01.03.2021,1,30.07.2021,1,,,,,27.04.2021,1,,,23.04.2021,1,15.11.2020,1,,,,,,,,,19.04.2021,1,,,,,,,,,,,,,15.11.2020,1,,,,,,
12.06.2020,3,14.07.2020,1,,,,,,,,,,,,,13.08.2021,2,,,,,30.07.2021,3,13.07.2021,2,,,27.08.2020,1,,,,,06.06.2021,1,,,06.06.2021,2,,,,,,,05.03.2021,1,04.08.2021,1,,,,,28.04.2021,1,,,24.04.2021,1,18.11.2020,2,,,,,,,,,21.04.2021,2,,,,,,,,,,,,,16.11.2020,3,,,,,,
13.06.2020,1,16.07.2020,2,,,,,,,,,,,,,14.08.2021,2,,,,,02.08.2021,1,24.07.2021,1,,,29.08.2020,1,,,,,07.06.2021,2,,,20.06.2021,1,,,,,,,08.03.2021,1,,,,,,,04.05.2021,1,,,28.04.2021,1,20.11.2020,1,,,,,,,,,22.04.2021,1,,,,,,,,,,,,,17.11.2020,1,,,,,,
14.06.2020,5,17.07.2020,1,,,,,,,,,,,,,15.08.2021,1,,,,,03.08.2021,1,25.07.2021,1,,,30.08.2020,2,,,,,09.06.2021,1,,,23.06.2021,4,,,,,,,10.03.2021,1,,,,,,,06.05.2021,2,,,30.04.2021,2,21.11.2020,1,,,,,,,,,26.04.2021,1,,,,,,,,,,,,,19.11.2020,2,,,,,,
15.06.2020,3,18.07.2020,1,,,,,,,,,,,,,16.08.2021,1,,,,,07.08.2021,1,15.08.2021,1,,,01.09.2020,1,,,,,10.06.2021,5,,,28.06.2021,1,,,,,,,14.03.2021,1,,,,,,,12.05.2021,2,,,01.05.2021,1,24.11.2020,1,,,,,,,,,27.04.2021,1,,,,,,,,,,,,,22.11.2020,1,,,,,,
16.06.2020,6,19.07.2020,1,,,,,,,,,,,,,17.08.2021,1,,,,,12.08.2021,1,20.08.2021,1,,,14.09.2020,1,,,,,12.06.2021,2,,,,,,,,,,,15.03.2021,1,,,,,,,21.05.2021,1,,,04.05.2021,1,27.11.2020,1,,,,,,,,,28.04.2021,2,,,,,,,,,,,,,23.11.2020,1,,,,,,
17.06.2020,6,23.07.2020,1,,,,,,,,,,,,,18.08.2021,3,,,,,,,,,,,21.09.2020,1,,,,,13.06.2021,3,,,,,,,,,,,22.03.2021,2,,,,,,,02.06.2021,2,,,05.05.2021,2,28.11.2020,1,,,,,,,,,29.04.2021,1,,,,,,,,,,,,,26.11.2020,4,,,,,,
18.06.2020,3,24.07.2020,2,,,,,,,,,,,,,23.08.2021,1,,,,,,,,,,,22.09.2020,1,,,,,14.06.2021,1,,,,,,,,,,,23.03.2021,3,,,,,,,08.06.2021,1,,,08.05.2021,1,01.12.2020,1,,,,,,,,,30.04.2021,2,,,,,,,,,,,,,27.11.2020,3,,,,,,
19.06.2020,5,27.07.2020,4,,,,,,,,,,,,,,,,,,,,,,,,,24.09.2020,1,,,,,15.06.2021,2,,,,,,,,,,,24.03.2021,4,,,,,,,10.06.2021,1,,,11.05.2021,1,02.12.2020,2,,,,,,,,,02.05.2021,1,,,,,,,,,,,,,28.11.2020,1,,,,,,
20.06.2020,1,31.07.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,26.09.2020,1,,,,,16.06.2021,2,,,,,,,,,,,27.03.2021,1,,,,,,,11.06.2021,1,,,15.05.2021,1,07.12.2020,1,,,,,,,,,03.05.2021,1,,,,,,,,,,,,,30.11.2020,3,,,,,,
21.06.2020,6,03.08.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,01.10.2020,1,,,,,22.06.2021,1,,,,,,,,,,,28.03.2021,1,,,,,,,13.06.2021,3,,,16.05.2021,1,08.12.2020,1,,,,,,,,,04.05.2021,1,,,,,,,,,,,,,07.12.2020,1,,,,,,
22.06.2020,5,04.08.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,02.10.2020,1,,,,,29.06.2021,1,,,,,,,,,,,29.03.2021,5,,,,,,,14.06.2021,1,,,20.05.2021,1,14.12.2020,1,,,,,,,,,05.05.2021,1,,,,,,,,,,,,,08.12.2020,2,,,,,,
23.06.2020,9,06.08.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,05.10.2020,1,,,,,,,,,,,,,,,,,30.03.2021,2,,,,,,,17.06.2021,1,,,24.05.2021,1,16.12.2020,1,,,,,,,,,10.05.2021,1,,,,,,,,,,,,,11.12.2020,1,,,,,,
24.06.2020,5,07.08.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,08.10.2020,2,,,,,,,,,,,,,,,,,31.03.2021,1,,,,,,,19.06.2021,1,,,05.06.2021,1,23.12.2020,1,,,,,,,,,11.05.2021,1,,,,,,,,,,,,,17.12.2020,1,,,,,,
25.06.2020,3,09.08.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,10.10.2020,1,,,,,,,,,,,,,,,,,01.04.2021,1,,,,,,,21.06.2021,1,,,12.06.2021,1,04.01.2021,1,,,,,,,,,18.05.2021,1,,,,,,,,,,,,,19.12.2020,3,,,,,,
26.06.2020,4,12.08.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,13.10.2020,1,,,,,,,,,,,,,,,,,02.04.2021,2,,,,,,,26.06.2021,1,,,13.07.2021,2,20.01.2021,2,,,,,,,,,19.05.2021,1,,,,,,,,,,,,,24.12.2020,1,,,,,,
27.06.2020,4,19.08.2020,2,,,,,,,,,,,,,,,,,,,,,,,,,14.10.2020,1,,,,,,,,,,,,,,,,,03.04.2021,1,,,,,,,13.07.2021,1,,,15.07.2021,1,20.02.2021,1,,,,,,,,,24.05.2021,1,,,,,,,,,,,,,25.12.2020,1,,,,,,
28.06.2020,3,21.08.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,15.10.2020,1,,,,,,,,,,,,,,,,,04.04.2021,4,,,,,,,17.07.2021,1,,,19.07.2021,1,21.02.2021,1,,,,,,,,,02.06.2021,1,,,,,,,,,,,,,31.12.2020,1,,,,,,
29.06.2020,5,22.08.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,18.10.2020,1,,,,,,,,,,,,,,,,,05.04.2021,1,,,,,,,19.07.2021,1,,,20.07.2021,1,02.03.2021,1,,,,,,,,,04.06.2021,1,,,,,,,,,,,,,01.01.2021,1,,,,,,
30.06.2020,5,25.08.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,19.10.2020,2,,,,,,,,,,,,,,,,,06.04.2021,2,,,,,,,23.07.2021,1,,,21.07.2021,3,05.03.2021,1,,,,,,,,,25.06.2021,1,,,,,,,,,,,,,04.01.2021,1,,,,,,
01.07.2020,5,29.08.2020,2,,,,,,,,,,,,,,,,,,,,,,,,,22.10.2020,1,,,,,,,,,,,,,,,,,07.04.2021,1,,,,,,,27.07.2021,2,,,22.07.2021,3,06.03.2021,1,,,,,,,,,01.07.2021,1,,,,,,,,,,,,,07.01.2021,1,,,,,,
02.07.2020,7,30.08.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,24.10.2020,1,,,,,,,,,,,,,,,,,09.04.2021,1,,,,,,,29.07.2021,1,,,23.07.2021,2,10.03.2021,7,,,,,,,,,16.07.2021,1,,,,,,,,,,,,,11.01.2021,1,,,,,,
03.07.2020,8,01.09.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,27.10.2020,1,,,,,,,,,,,,,,,,,11.04.2021,1,,,,,,,30.07.2021,1,,,24.07.2021,1,11.03.2021,4,,,,,,,,,18.07.2021,1,,,,,,,,,,,,,15.01.2021,1,,,,,,
04.07.2020,3,04.09.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,28.10.2020,2,,,,,,,,,,,,,,,,,12.04.2021,1,,,,,,,10.08.2021,1,,,25.07.2021,2,12.03.2021,5,,,,,,,,,24.07.2021,1,,,,,,,,,,,,,24.01.2021,2,,,,,,
05.07.2020,9,10.09.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,29.10.2020,1,,,,,,,,,,,,,,,,,13.04.2021,2,,,,,,,12.08.2021,1,,,26.07.2021,2,13.03.2021,1,,,,,,,,,30.07.2021,1,,,,,,,,,,,,,27.01.2021,1,,,,,,
06.07.2020,4,12.09.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,30.10.2020,2,,,,,,,,,,,,,,,,,14.04.2021,4,,,,,,,,,,,27.07.2021,1,14.03.2021,3,,,,,,,,,02.08.2021,3,,,,,,,,,,,,,28.01.2021,2,,,,,,
07.07.2020,12,17.09.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,31.10.2020,1,,,,,,,,,,,,,,,,,15.04.2021,2,,,,,,,,,,,29.07.2021,3,15.03.2021,2,,,,,,,,,04.08.2021,3,,,,,,,,,,,,,30.01.2021,1,,,,,,
08.07.2020,14,24.09.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,02.11.2020,4,,,,,,,,,,,,,,,,,16.04.2021,5,,,,,,,,,,,31.07.2021,1,16.03.2021,2,,,,,,,,,05.08.2021,2,,,,,,,,,,,,,01.02.2021,1,,,,,,
09.07.2020,13,26.09.2020,2,,,,,,,,,,,,,,,,,,,,,,,,,03.11.2020,1,,,,,,,,,,,,,,,,,17.04.2021,3,,,,,,,,,,,03.08.2021,2,17.03.2021,4,,,,,,,,,06.08.2021,1,,,,,,,,,,,,,14.02.2021,1,,,,,,
10.07.2020,5,01.10.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,04.11.2020,1,,,,,,,,,,,,,,,,,18.04.2021,1,,,,,,,,,,,04.08.2021,1,18.03.2021,2,,,,,,,,,08.08.2021,1,,,,,,,,,,,,,19.02.2021,1,,,,,,
11.07.2020,9,03.10.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,05.11.2020,1,,,,,,,,,,,,,,,,,19.04.2021,1,,,,,,,,,,,05.08.2021,6,19.03.2021,3,,,,,,,,,10.08.2021,1,,,,,,,,,,,,,24.02.2021,1,,,,,,
12.07.2020,10,05.10.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,08.11.2020,1,,,,,,,,,,,,,,,,,20.04.2021,2,,,,,,,,,,,06.08.2021,2,20.03.2021,1,,,,,,,,,11.08.2021,1,,,,,,,,,,,,,26.02.2021,1,,,,,,
13.07.2020,10,07.10.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,09.11.2020,2,,,,,,,,,,,,,,,,,22.04.2021,1,,,,,,,,,,,07.08.2021,1,21.03.2021,5,,,,,,,,,13.08.2021,7,,,,,,,,,,,,,27.02.2021,2,,,,,,
14.07.2020,7,10.10.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,10.11.2020,4,,,,,,,,,,,,,,,,,23.04.2021,1,,,,,,,,,,,08.08.2021,4,22.03.2021,6,,,,,,,,,16.08.2021,1,,,,,,,,,,,,,05.03.2021,1,,,,,,
15.07.2020,7,11.10.2020,2,,,,,,,,,,,,,,,,,,,,,,,,,11.11.2020,6,,,,,,,,,,,,,,,,,24.04.2021,3,,,,,,,,,,,09.08.2021,1,23.03.2021,3,,,,,,,,,20.08.2021,2,,,,,,,,,,,,,08.03.2021,1,,,,,,
16.07.2020,12,12.10.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,13.11.2020,1,,,,,,,,,,,,,,,,,25.04.2021,1,,,,,,,,,,,10.08.2021,2,24.03.2021,3,,,,,,,,,,,,,,,,,,,,,,,13.03.2021,1,,,,,,
17.07.2020,11,24.10.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,14.11.2020,2,,,,,,,,,,,,,,,,,29.04.2021,1,,,,,,,,,,,11.08.2021,2,25.03.2021,5,,,,,,,,,,,,,,,,,,,,,,,15.03.2021,1,,,,,,
18.07.2020,16,27.10.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,15.11.2020,1,,,,,,,,,,,,,,,,,01.05.2021,2,,,,,,,,,,,12.08.2021,1,26.03.2021,2,,,,,,,,,,,,,,,,,,,,,,,18.03.2021,1,,,,,,
19.07.2020,16,28.10.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,16.11.2020,3,,,,,,,,,,,,,,,,,02.05.2021,1,,,,,,,,,,,13.08.2021,2,27.03.2021,5,,,,,,,,,,,,,,,,,,,,,,,20.03.2021,2,,,,,,
20.07.2020,8,30.10.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,17.11.2020,3,,,,,,,,,,,,,,,,,06.05.2021,1,,,,,,,,,,,14.08.2021,3,29.03.2021,4,,,,,,,,,,,,,,,,,,,,,,,22.03.2021,1,,,,,,
21.07.2020,15,01.11.2020,2,,,,,,,,,,,,,,,,,,,,,,,,,18.11.2020,2,,,,,,,,,,,,,,,,,09.05.2021,1,,,,,,,,,,,15.08.2021,4,30.03.2021,3,,,,,,,,,,,,,,,,,,,,,,,24.03.2021,1,,,,,,
22.07.2020,13,02.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,19.11.2020,1,,,,,,,,,,,,,,,,,10.05.2021,1,,,,,,,,,,,16.08.2021,1,31.03.2021,1,,,,,,,,,,,,,,,,,,,,,,,26.03.2021,1,,,,,,
23.07.2020,13,03.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,20.11.2020,2,,,,,,,,,,,,,,,,,11.05.2021,1,,,,,,,,,,,17.08.2021,1,01.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,27.03.2021,2,,,,,,
24.07.2020,17,05.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,21.11.2020,1,,,,,,,,,,,,,,,,,16.05.2021,1,,,,,,,,,,,18.08.2021,1,02.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,28.03.2021,2,,,,,,
25.07.2020,12,06.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,23.11.2020,5,,,,,,,,,,,,,,,,,22.05.2021,1,,,,,,,,,,,19.08.2021,1,03.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,29.03.2021,1,,,,,,
26.07.2020,16,07.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,24.11.2020,1,,,,,,,,,,,,,,,,,30.05.2021,2,,,,,,,,,,,20.08.2021,1,05.04.2021,2,,,,,,,,,,,,,,,,,,,,,,,02.04.2021,2,,,,,,
27.07.2020,38,09.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,25.11.2020,5,,,,,,,,,,,,,,,,,05.06.2021,1,,,,,,,,,,,21.08.2021,2,06.04.2021,3,,,,,,,,,,,,,,,,,,,,,,,03.04.2021,1,,,,,,
28.07.2020,16,11.11.2020,2,,,,,,,,,,,,,,,,,,,,,,,,,26.11.2020,2,,,,,,,,,,,,,,,,,06.06.2021,2,,,,,,,,,,,,,07.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,04.04.2021,2,,,,,,
29.07.2020,17,12.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,27.11.2020,3,,,,,,,,,,,,,,,,,07.06.2021,1,,,,,,,,,,,,,08.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,06.04.2021,1,,,,,,
30.07.2020,14,13.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,28.11.2020,2,,,,,,,,,,,,,,,,,16.07.2021,1,,,,,,,,,,,,,10.04.2021,2,,,,,,,,,,,,,,,,,,,,,,,09.04.2021,2,,,,,,
31.07.2020,34,15.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,30.11.2020,1,,,,,,,,,,,,,,,,,23.07.2021,1,,,,,,,,,,,,,11.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,11.04.2021,1,,,,,,
01.08.2020,25,26.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,01.12.2020,2,,,,,,,,,,,,,,,,,25.07.2021,1,,,,,,,,,,,,,12.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,24.05.2021,1,,,,,,
02.08.2020,12,28.11.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,02.12.2020,2,,,,,,,,,,,,,,,,,16.08.2021,2,,,,,,,,,,,,,13.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,05.06.2021,1,,,,,,
03.08.2020,19,10.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,03.12.2020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.04.2021,2,,,,,,,,,,,,,,,,,,,,,,,08.06.2021,1,,,,,,
04.08.2020,18,12.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,04.12.2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.04.2021,3,,,,,,,,,,,,,,,,,,,,,,,10.06.2021,2,,,,,,
05.08.2020,9,19.12.2020,2,,,,,,,,,,,,,,,,,,,,,,,,,05.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.04.2021,2,,,,,,,,,,,,,,,,,,,,,,,11.06.2021,3,,,,,,
06.08.2020,8,21.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,06.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04.2021,4,,,,,,,,,,,,,,,,,,,,,,,17.06.2021,1,,,,,,
07.08.2020,13,24.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,08.12.2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,21.06.2021,2,,,,,,
08.08.2020,9,27.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,11.12.2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,22.06.2021,1,,,,,,
09.08.2020,13,05.01.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,12.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.04.2021,2,,,,,,,,,,,,,,,,,,,,,,,23.06.2021,1,,,,,,
10.08.2020,5,06.01.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,14.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,24.06.2021,1,,,,,,
11.08.2020,20,14.01.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,15.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.04.2021,1,,,,,,,,,,,,,,,,,,,,,,,25.06.2021,1,,,,,,
12.08.2020,22,15.01.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,16.12.2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01.05.2021,1,,,,,,,,,,,,,,,,,,,,,,,26.06.2021,3,,,,,,
13.08.2020,6,20.01.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,19.12.2020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03.05.2021,1,,,,,,,,,,,,,,,,,,,,,,,28.06.2021,2,,,,,,
14.08.2020,19,24.01.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,07.01.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05.2021,1,,,,,,,,,,,,,,,,,,,,,,,01.07.2021,1,,,,,,
15.08.2020,6,28.01.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,21.01.2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05.2021,1,,,,,,,,,,,,,,,,,,,,,,,02.07.2021,1,,,,,,
16.08.2020,9,29.01.2021,2,,,,,,,,,,,,,,,,,,,,,,,,,03.02.2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.05.2021,2,,,,,,,,,,,,,,,,,,,,,,,06.07.2021,2,,,,,,
17.08.2020,4,03.02.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,04.02.2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.05.2021,2,,,,,,,,,,,,,,,,,,,,,,,07.07.2021,1,,,,,,
18.08.2020,8,06.02.2021,2,,,,,,,,,,,,,,,,,,,,,,,,,08.02.2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01.06.2021,1,,,,,,,,,,,,,,,,,,,,,,,08.07.2021,1,,,,,,
19.08.2020,10,07.02.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,18.02.2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07.06.2021,3,,,,,,,,,,,,,,,,,,,,,,,09.07.2021,1,,,,,,
20.08.2020,19,23.02.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,21.02.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08.06.2021,2,,,,,,,,,,,,,,,,,,,,,,,12.07.2021,4,,,,,,
21.08.2020,7,25.02.2021,3,,,,,,,,,,,,,,,,,,,,,,,,,27.02.2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06.2021,3,,,,,,,,,,,,,,,,,,,,,,,13.07.2021,1,,,,,,
22.08.2020,13,26.02.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,02.03.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06.2021,1,,,,,,,,,,,,,,,,,,,,,,,14.07.2021,3,,,,,,
23.08.2020,7,28.02.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,03.03.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06.2021,1,,,,,,,,,,,,,,,,,,,,,,,15.07.2021,3,,,,,,
24.08.2020,5,10.03.2021,3,,,,,,,,,,,,,,,,,,,,,,,,,04.03.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.06.2021,1,,,,,,,,,,,,,,,,,,,,,,,21.07.2021,2,,,,,,
25.08.2020,10,20.03.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,05.03.2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.06.2021,1,,,,,,,,,,,,,,,,,,,,,,,22.07.2021,1,,,,,,
