Displaying Data Collected From https://khro.health.go.ke/#/covid_19_tracker. Some Days are missing on the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Nairobi cases by day,Date,Mombasa,Date,Baringo,Date,Bomet,Date,Bungoma,Date,Busia,Date,Elgeyo-Marakwet,Date,Embu,Date,Garissa,Date,Homa Bay,Date,Isiolo,Date,Kajiado,Date,Kakamega,Date,Kericho(Number of Cases),Date,Kiambu,Date,Kilifi,Date,Kirinyaga,Date,Kisii,Date,Kisumu,Date,Kitui,Date,Kwale,Date,Laikipia,Date,Lamu,Date`,Machakos,Date,Makueni,Date,Mandera,Date,Marsabit,Date,Meru,Date,Migori,Date,Murang'a,Date,Nakuru,Date,Nandi,Date,Narok,Date,Nyamira,Date,Nyandarua,Date,Nyeri,Date,Samburu,Date,Siaya,Date,Taita Taveta,Date,Tharaka-Nithi,Date,Trans Nzoia,Date,Turkana,Date,Uasin Gishu,Date,Vihiga,Date,Wajir,Date,West Pokot
23.04.2020,11,01.05.2020,6,16.10.2020,3,18.08.2020,5,27.08.2020,1,12.06.2020,16,29.10.2020,3,24.08.2020,2,11.07.2020,1,24.09.2020,1,22.08.2020,1,05.06.2020,1,08.08.2020,6,03.08.2020,5,13.06.2020,4,20.06.2020,1,03.10.2020,1,08.08.2020,9,20.07.2020,1,15.08.2020,10,18.07.2020,1,06.08.2020,7,22.08.2020,1,02.07.2020,5,23.07.2020,5,30.11.2020,2,23.10.2020,14,06.08.2020,4,26.06.2020,3,27.07.2020,1,03.07.2020,2,21.08.2020,1,28.07.2020,10,02.10.2020,3,04.09.2020,7,30.07.2020,3,27.10.2020,5,08.08.2020,1,09.07.2020,2,10.10.2020,3,18.08.2020,1,27.08.2020,6,28.06.2020,4,01.10.2020,1,16.10.2020,1,09.11.2020,3
25.04.2020,8,03.05.2020,10,17.10.2020,5,20.08.2020,5,02.09.2020,1,13.06.2020,4,30.10.2020,3,27.08.2020,1,16.07.2020,1,30.09.2020,3,23.08.2020,1,09.06.2020,1,10.08.2020,2,04.08.2020,9,14.06.2020,2,21.06.2020,3,08.10.2020,1,10.08.2020,3,21.07.2020,1,16.08.2020,2,29.07.2020,1,07.08.2020,11,23.08.2020,4,03.07.2020,1,25.07.2020,5,01.12.2020,2,01.11.2020,10,07.08.2020,3,29.06.2020,13,28.07.2020,9,04.07.2020,7,24.08.2020,2,29.07.2020,14,07.10.2020,4,05.09.2020,1,31.07.2020,4,30.10.2020,12,11.08.2020,1,14.07.2020,1,12.10.2020,1,22.08.2020,17,28.08.2020,4,29.06.2020,10,02.10.2020,1,17.10.2020,3,10.11.2020,1
27.04.2020,7,04.05.2020,11,21.10.2020,3,21.08.2020,6,06.09.2020,2,15.06.2020,5,01.11.2020,1,29.08.2020,20,18.07.2020,1,02.10.2020,1,24.08.2020,2,10.06.2020,5,11.08.2020,1,05.08.2020,1,16.06.2020,9,25.06.2020,1,11.10.2020,1,12.08.2020,7,22.07.2020,1,17.08.2020,1,30.07.2020,3,10.08.2020,18,24.08.2020,10,04.07.2020,4,29.07.2020,1,12.12.2020,2,03.11.2020,4,08.08.2020,2,01.07.2020,9,29.07.2020,3,07.07.2020,4,26.08.2020,3,31.07.2020,5,09.10.2020,2,07.09.2020,1,01.08.2020,23,02.11.2020,6,13.08.2020,1,16.07.2020,1,13.10.2020,1,23.08.2020,2,30.08.2020,5,30.06.2020,1,08.10.2020,2,18.10.2020,1,11.11.2020,6
29.04.2020,3,06.05.2020,3,23.10.2020,5,25.08.2020,4,10.09.2020,1,16.06.2020,6,03.11.2020,11,31.08.2020,1,19.07.2020,1,06.10.2020,1,25.08.2020,5,12.06.2020,4,13.08.2020,5,06.08.2020,7,17.06.2020,7,27.06.2020,5,12.10.2020,1,13.08.2020,2,23.07.2020,5,19.08.2020,13,31.07.2020,1,11.08.2020,9,25.08.2020,2,06.07.2020,36,30.07.2020,1,15.12.2020,1,11.11.2020,5,10.08.2020,3,03.07.2020,9,30.07.2020,7,08.07.2020,23,27.08.2020,1,02.08.2020,5,10.10.2020,3,11.09.2020,2,02.08.2020,5,03.11.2020,3,15.08.2020,1,23.07.2020,1,15.10.2020,2,27.08.2020,4,03.09.2020,12,01.07.2020,10,12.10.2020,1,20.10.2020,7,15.11.2020,1
30.04.2020,3,08.05.2020,11,26.10.2020,2,26.08.2020,2,18.09.2020,8,17.06.2020,5,04.11.2020,5,01.09.2020,6,21.07.2020,1,07.10.2020,1,26.08.2020,6,14.06.2020,1,14.08.2020,2,07.08.2020,6,20.06.2020,14,28.06.2020,2,13.10.2020,2,14.08.2020,19,24.07.2020,3,20.08.2020,3,01.08.2020,1,12.08.2020,15,27.08.2020,5,07.07.2020,20,02.08.2020,4,16.12.2020,1,15.11.2020,2,11.08.2020,5,07.07.2020,23,31.07.2020,9,09.07.2020,3,30.08.2020,2,03.08.2020,19,13.10.2020,1,24.09.2020,1,03.08.2020,2,04.11.2020,1,29.08.2020,1,25.07.2020,2,22.10.2020,1,30.08.2020,1,04.09.2020,9,03.07.2020,4,14.10.2020,2,21.10.2020,4,16.11.2020,1
02.05.2020,9,09.05.2020,12,27.10.2020,3,27.08.2020,2,23.09.2020,2,18.06.2020,3,06.11.2020,2,04.09.2020,6,23.07.2020,10,12.10.2020,4,29.08.2020,1,15.06.2020,2,15.08.2020,2,08.08.2020,14,21.06.2020,2,29.06.2020,3,16.10.2020,1,15.08.2020,2,25.07.2020,14,21.08.2020,5,02.08.2020,1,13.08.2020,3,28.08.2020,4,08.07.2020,17,03.08.2020,2,22.12.2020,1,17.11.2020,6,21.08.2020,1,08.07.2020,1,02.08.2020,1,11.07.2020,5,23.09.2020,1,04.08.2020,10,14.10.2020,5,06.10.2020,1,04.08.2020,13,09.11.2020,2,30.08.2020,1,26.07.2020,1,23.10.2020,2,03.09.2020,3,06.09.2020,4,05.07.2020,1,17.10.2020,1,23.10.2020,3,17.11.2020,3
04.05.2020,29,11.05.2020,7,30.10.2020,2,29.08.2020,2,25.09.2020,2,19.06.2020,3,08.11.2020,2,06.09.2020,1,25.07.2020,10,16.10.2020,10,30.08.2020,1,17.06.2020,13,19.08.2020,1,10.08.2020,5,23.06.2020,9,03.07.2020,2,19.10.2020,4,18.08.2020,1,29.07.2020,8,22.08.2020,1,05.08.2020,1,14.08.2020,12,29.08.2020,3,10.07.2020,23,05.08.2020,2,30.12.2020,1,18.11.2020,17,23.08.2020,1,09.07.2020,7,03.08.2020,4,13.07.2020,5,25.09.2020,1,05.08.2020,3,15.10.2020,3,08.10.2020,1,05.08.2020,20,13.11.2020,4,01.09.2020,1,30.07.2020,2,24.10.2020,1,04.09.2020,1,09.09.2020,7,08.07.2020,7,19.10.2020,2,26.10.2020,2,19.11.2020,5
05.05.2020,11,12.05.2020,8,01.11.2020,1,01.09.2020,4,26.09.2020,1,20.06.2020,3,09.11.2020,5,08.09.2020,10,27.07.2020,6,20.10.2020,1,01.09.2020,1,18.06.2020,18,22.08.2020,1,11.08.2020,14,24.06.2020,17,04.07.2020,1,21.10.2020,3,20.08.2020,23,30.07.2020,6,24.08.2020,4,10.08.2020,2,16.08.2020,2,02.09.2020,6,11.07.2020,5,06.08.2020,6,07.01.2021,1,21.11.2020,8,25.08.2020,5,11.07.2020,19,04.08.2020,2,14.07.2020,11,28.09.2020,1,06.08.2020,14,17.10.2020,10,10.10.2020,2,06.08.2020,1,14.11.2020,1,16.09.2020,3,03.08.2020,3,25.10.2020,1,07.09.2020,6,12.09.2020,29,10.07.2020,1,22.10.2020,2,27.10.2020,3,23.11.2020,4
07.05.2020,10,14.05.2020,5,03.11.2020,31,02.09.2020,2,29.09.2020,1,23.06.2020,9,10.11.2020,2,09.09.2020,3,29.07.2020,5,22.10.2020,12,09.09.2020,1,19.06.2020,2,24.08.2020,1,12.08.2020,4,25.06.2020,8,09.07.2020,2,24.10.2020,4,21.08.2020,3,31.07.2020,9,26.08.2020,2,16.08.2020,1,17.08.2020,20,08.09.2020,1,12.07.2020,11,08.08.2020,5,21.02.2021,1,22.11.2020,2,26.08.2020,1,14.07.2020,14,05.08.2020,15,16.07.2020,21,30.09.2020,1,08.08.2020,3,21.10.2020,6,12.10.2020,1,08.08.2020,3,16.11.2020,3,19.09.2020,1,04.08.2020,1,27.10.2020,6,09.09.2020,2,15.09.2020,4,11.07.2020,8,23.10.2020,10,28.10.2020,1,24.11.2020,5
09.05.2020,4,16.05.2020,35,04.11.2020,1,07.09.2020,1,01.10.2020,5,24.06.2020,8,12.11.2020,15,10.09.2020,8,30.07.2020,2,24.10.2020,2,03.10.2020,4,22.06.2020,1,26.08.2020,2,14.08.2020,23,27.06.2020,21,13.07.2020,1,27.10.2020,6,22.08.2020,11,01.08.2020,6,27.08.2020,1,21.08.2020,1,18.08.2020,1,16.09.2020,4,14.07.2020,29,09.08.2020,1,08.03.2021,1,25.11.2020,1,28.08.2020,1,15.07.2020,10,06.08.2020,1,17.07.2020,2,01.10.2020,2,11.08.2020,2,22.10.2020,2,13.10.2020,1,10.08.2020,8,17.11.2020,1,22.09.2020,1,07.08.2020,2,28.10.2020,2,10.09.2020,2,16.09.2020,5,12.07.2020,1,24.10.2020,3,30.10.2020,2,01.12.2020,4
10.05.2020,7,17.05.2020,8,05.11.2020,3,08.09.2020,1,03.10.2020,3,25.06.2020,9,13.11.2020,1,11.09.2020,1,31.07.2020,3,26.10.2020,1,09.10.2020,4,23.06.2020,21,27.08.2020,4,18.08.2020,6,28.06.2020,10,14.07.2020,6,28.10.2020,8,25.08.2020,3,03.08.2020,2,29.08.2020,6,24.08.2020,3,19.08.2020,13,18.09.2020,1,15.07.2020,9,10.08.2020,1,11.03.2021,1,26.11.2020,2,29.08.2020,2,17.07.2020,1,07.08.2020,1,18.07.2020,17,02.10.2020,1,12.08.2020,5,24.10.2020,7,14.10.2020,12,11.08.2020,23,24.11.2020,4,25.09.2020,1,11.08.2020,1,30.10.2020,9,12.09.2020,27,19.09.2020,9,13.07.2020,8,27.10.2020,5,04.11.2020,1,06.12.2020,7
12.05.2020,12,19.05.2020,32,06.11.2020,25,10.09.2020,2,08.10.2020,1,26.06.2020,9,15.11.2020,1,12.09.2020,5,01.08.2020,1,28.10.2020,6,12.10.2020,2,25.06.2020,15,04.09.2020,2,19.08.2020,48,30.06.2020,20,17.07.2020,5,29.10.2020,1,26.08.2020,32,04.08.2020,16,31.08.2020,14,25.08.2020,1,21.08.2020,9,02.10.2020,,17.07.2020,20,11.08.2020,4,12.03.2021,2,29.11.2020,16,30.08.2020,1,20.07.2020,8,08.08.2020,4,20.07.2020,11,03.10.2020,3,14.08.2020,4,27.10.2020,6,15.10.2020,2,12.08.2020,1,25.11.2020,1,26.09.2020,2,15.08.2020,3,02.11.2020,2,14.09.2020,1,22.09.2020,1,15.07.2020,3,28.10.2020,3,08.11.2020,1,09.12.2020,1
14.05.2020,11,20.05.2020,20,09.11.2020,20,14.09.2020,1,09.10.2020,118,27.06.2020,11,17.11.2020,4,14.09.2020,1,02.08.2020,16,29.10.2020,2,16.10.2020,6,26.06.2020,3,10.09.2020,1,20.08.2020,1,01.07.2020,11,18.07.2020,10,30.10.2020,1,29.08.2020,6,05.08.2020,1,01.09.2020,2,02.09.2020,1,24.08.2020,4,06.10.2020,,18.07.2020,6,12.08.2020,4,14.03.2021,1,01.12.2020,1,01.09.2020,1,22.07.2020,26,09.08.2020,3,21.07.2020,21,06.10.2020,1,15.08.2020,12,29.10.2020,6,18.10.2020,1,13.08.2020,7,26.11.2020,12,29.09.2020,3,17.08.2020,3,04.11.2020,6,16.09.2020,16,23.09.2020,4,16.07.2020,2,29.10.2020,6,09.11.2020,2,11.12.2020,2
15.05.2020,29,22.05.2020,9,13.11.2020,60,18.09.2020,4,10.10.2020,8,29.06.2020,4,19.11.2020,2,16.09.2020,1,04.08.2020,3,30.10.2020,4,17.10.2020,1,27.06.2020,3,12.09.2020,1,21.08.2020,5,03.07.2020,10,21.07.2020,1,31.10.2020,5,01.09.2020,10,07.08.2020,2,03.09.2020,6,08.09.2020,1,27.08.2020,7,14.10.2020,,19.07.2020,29,13.08.2020,4,15.03.2021,5,08.12.2020,9,02.09.2020,1,24.07.2020,16,10.08.2020,11,22.07.2020,7,07.10.2020,6,16.08.2020,7,30.10.2020,2,21.10.2020,1,14.08.2020,9,28.11.2020,1,30.09.2020,1,18.08.2020,1,05.11.2020,6,17.09.2020,3,25.09.2020,14,17.07.2020,2,01.11.2020,1,13.11.2020,1,21.01.2021,1
17.05.2020,4,24.05.2020,13,16.11.2020,12,22.09.2020,2,14.10.2020,12,01.07.2020,2,20.11.2020,2,17.09.2020,7,06.08.2020,1,31.10.2020,3,19.10.2020,3,29.06.2020,4,14.09.2020,1,22.08.2020,1,04.07.2020,2,23.07.2020,5,02.11.2020,2,03.09.2020,2,08.08.2020,4,04.09.2020,1,11.09.2020,5,29.08.2020,2,21.10.2020,,21.07.2020,84,15.08.2020,1,18.03.2021,7,11.12.2020,3,06.09.2020,3,28.07.2020,9,11.08.2020,4,24.07.2020,14,08.10.2020,2,18.08.2020,3,03.11.2020,1,22.10.2020,3,15.08.2020,4,29.11.2020,1,02.10.2020,1,20.08.2020,3,06.11.2020,5,18.09.2020,1,26.09.2020,7,20.07.2020,8,02.11.2020,3,20.11.2020,1,27.02.2021,1
19.05.2020,24,25.05.2020,19,19.11.2020,9,24.09.2020,1,16.10.2020,21,02.07.2020,11,21.11.2020,3,19.09.2020,2,07.08.2020,3,02.11.2020,1,21.10.2020,5,30.06.2020,14,15.09.2020,3,25.08.2020,6,06.07.2020,13,26.07.2020,5,04.11.2020,2,04.09.2020,3,10.08.2020,17,06.09.2020,11,20.09.2020,1,30.08.2020,1,28.10.2020,,22.07.2020,57,17.08.2020,4,21.03.2021,1,12.12.2020,2,07.09.2020,2,31.07.2020,15,12.08.2020,5,25.07.2020,12,10.10.2020,2,21.08.2020,9,04.11.2020,21,26.10.2020,1,16.08.2020,7,30.11.2020,5,06.10.2020,5,21.08.2020,5,07.11.2020,3,22.09.2020,1,28.09.2020,5,21.07.2020,6,06.11.2020,1,21.11.2020,1,21.03.2021,1
20.05.2020,42,27.05.2020,43,23.11.2020,5,29.09.2020,5,17.10.2020,8,03.07.2020,16,22.11.2020,1,20.09.2020,1,08.08.2020,1,04.11.2020,6,22.10.2020,1,02.07.2020,14,16.09.2020,1,26.08.2020,3,07.07.2020,32,30.07.2020,1,05.11.2020,1,05.09.2020,3,11.08.2020,7,07.09.2020,54,27.09.2020,1,01.09.2020,1,03.11.2020,3,23.07.2020,45,18.08.2020,1,23.03.2021,6,14.12.2020,1,08.09.2020,3,03.08.2020,25,13.08.2020,1,27.07.2020,11,13.10.2020,13,25.08.2020,1,05.11.2020,1,27.10.2020,2,17.08.2020,2,01.12.2020,6,07.10.2020,4,24.08.2020,7,08.11.2020,1,23.09.2020,28,30.09.2020,1,22.07.2020,11,08.11.2020,2,30.11.2020,1,22.03.2021,2
22.05.2020,16,28.05.2020,23,25.11.2020,1,30.09.2020,2,18.10.2020,1,04.07.2020,9,25.11.2020,2,21.09.2020,1,09.08.2020,48,06.11.2020,20,23.10.2020,5,03.07.2020,28,18.09.2020,3,27.08.2020,4,09.07.2020,25,31.07.2020,1,06.11.2020,1,07.09.2020,7,12.08.2020,2,09.09.2020,23,28.09.2020,1,02.09.2020,9,06.11.2020,,25.07.2020,55,19.08.2020,6,25.03.2021,2,16.12.2020,2,09.09.2020,1,05.08.2020,7,14.08.2020,11,29.07.2020,34,14.10.2020,10,26.08.2020,7,06.11.2020,13,28.10.2020,3,18.08.2020,5,02.12.2020,6,08.10.2020,11,26.08.2020,7,09.11.2020,3,25.09.2020,5,05.10.2020,34,23.07.2020,13,09.11.2020,3,03.12.2020,1,23.03.2021,1
24.05.2020,53,30.05.2020,28,26.11.2020,1,03.10.2020,1,19.10.2020,2,06.07.2020,3,01.12.2020,2,25.09.2020,9,10.08.2020,3,07.11.2020,3,24.10.2020,3,04.07.2020,19,19.09.2020,2,01.09.2020,24,10.07.2020,28,02.08.2020,1,07.11.2020,4,09.09.2020,4,13.08.2020,12,10.09.2020,27,30.09.2020,3,03.09.2020,2,08.11.2020,4,26.07.2020,29,20.08.2020,1,26.03.2021,1,20.12.2020,1,10.09.2020,4,06.08.2020,1,15.08.2020,1,30.07.2020,82,15.10.2020,8,27.08.2020,9,07.11.2020,1,29.10.2020,8,19.08.2020,7,04.12.2020,2,10.10.2020,2,27.08.2020,10,12.11.2020,1,26.09.2020,7,07.10.2020,16,26.07.2020,13,10.11.2020,2,17.12.2020,1,26.03.2021,1
25.05.2020,25,01.06.2020,10,28.11.2020,1,06.10.2020,1,21.10.2020,3,07.07.2020,29,08.12.2020,1,27.09.2020,1,11.08.2020,18,08.11.2020,4,27.10.2020,14,06.07.2020,11,24.09.2020,1,02.09.2020,1,12.07.2020,20,03.08.2020,2,09.11.2020,4,10.09.2020,9,15.08.2020,8,11.09.2020,2,07.10.2020,2,05.09.2020,3,11.11.2020,7,27.07.2020,16,24.08.2020,2,28.03.2021,5,21.12.2020,10,11.09.2020,5,07.08.2020,2,16.08.2020,2,31.07.2020,9,16.10.2020,1,29.08.2020,3,08.11.2020,5,30.10.2020,1,22.08.2020,2,10.12.2020,3,13.10.2020,7,28.08.2020,11,13.11.2020,12,30.09.2020,8,08.10.2020,5,27.07.2020,11,11.11.2020,1,15.02.2021,1,27.03.2021,2
27.05.2020,93,02.06.2020,35,01.12.2020,5,08.10.2020,1,22.10.2020,23,09.07.2020,18,24.12.2020,1,28.09.2020,4,13.08.2020,1,09.11.2020,2,31.10.2020,2,07.07.2020,13,25.09.2020,1,03.09.2020,3,13.07.2020,63,05.08.2020,1,10.11.2020,5,11.09.2020,9,17.08.2020,3,12.09.2020,2,08.10.2020,2,06.09.2020,1,12.11.2020,9,29.07.2020,21,25.08.2020,2,30.03.2021,2,25.12.2020,2,12.09.2020,2,11.08.2020,8,17.08.2020,3,02.08.2020,8,17.10.2020,18,30.08.2020,5,09.11.2020,8,31.10.2020,4,23.08.2020,13,12.12.2020,42,14.10.2020,2,29.08.2020,10,14.11.2020,7,01.10.2020,13,09.10.2020,36,28.07.2020,9,12.11.2020,3,14.03.2021,1,29.03.2021,7
29.05.2020,89,04.06.2020,67,03.12.2020,8,14.10.2020,2,23.10.2020,14,11.07.2020,38,04.01.2021,3,30.09.2020,2,15.08.2020,8,10.11.2020,8,01.11.2020,2,09.07.2020,11,26.09.2020,1,07.09.2020,3,15.07.2020,39,08.08.2020,3,11.11.2020,2,14.09.2020,10,18.08.2020,10,17.09.2020,4,09.10.2020,3,07.09.2020,1,16.11.2020,8,30.07.2020,9,26.08.2020,1,31.03.2021,1,06.01.2021,1,14.09.2020,1,12.08.2020,7,20.08.2020,1,03.08.2020,14,18.10.2020,1,01.09.2020,2,10.11.2020,1,01.11.2020,2,24.08.2020,6,06.01.2021,8,15.10.2020,1,31.08.2020,8,15.11.2020,4,02.10.2020,1,12.10.2020,3,30.07.2020,10,13.11.2020,1,17.03.2021,1,30.03.2021,6
30.05.2020,37,05.06.2020,57,09.12.2020,1,15.10.2020,6,27.10.2020,66,13.07.2020,10,13.01.2021,1,01.10.2020,1,16.08.2020,9,11.11.2020,3,02.11.2020,2,10.07.2020,39,28.09.2020,1,08.09.2020,4,16.07.2020,25,09.08.2020,2,12.11.2020,10,16.09.2020,7,19.08.2020,11,18.09.2020,2,10.10.2020,2,08.09.2020,11,20.11.2020,3,31.07.2020,8,27.08.2020,2,01.04.2021,14,29.01.2021,1,16.09.2020,3,14.08.2020,10,21.08.2020,4,05.08.2020,25,19.10.2020,8,02.09.2020,8,12.11.2020,1,03.11.2020,12,26.08.2020,3,01.02.2021,1,16.10.2020,2,02.09.2020,8,16.11.2020,7,03.10.2020,30,13.10.2020,4,31.07.2020,5,15.11.2020,1,18.03.2021,1,01.04.2021,10
01.06.2020,46,07.06.2020,58,10.12.2020,1,16.10.2020,5,29.10.2020,16,14.07.2020,12,31.01.2021,1,07.10.2020,1,17.08.2020,4,12.11.2020,2,05.11.2020,1,11.07.2020,12,29.09.2020,1,10.09.2020,4,18.07.2020,44,10.08.2020,5,13.11.2020,1,19.09.2020,20,20.08.2020,5,23.09.2020,4,16.10.2020,2,11.09.2020,1,24.11.2020,2,02.08.2020,17,28.08.2020,1,02.04.2021,2,06.03.2021,1,19.09.2020,2,17.08.2020,18,22.08.2020,1,06.08.2020,30,21.10.2020,48,07.09.2020,4,13.11.2020,16,04.11.2020,23,27.08.2020,2,16.03.2021,1,17.10.2020,1,03.09.2020,10,18.11.2020,1,05.10.2020,4,14.10.2020,25,02.08.2020,14,16.11.2020,9,21.03.2021,1,05.04.2021,1
03.06.2020,37,09.06.2020,12,16.12.2020,2,21.10.2020,15,30.10.2020,13,15.07.2020,32,01.02.2021,1,08.10.2020,19,18.08.2020,2,14.11.2020,4,06.11.2020,2,13.07.2020,48,01.10.2020,11,11.09.2020,2,19.07.2020,54,11.08.2020,2,14.11.2020,1,21.09.2020,2,21.08.2020,9,28.09.2020,24,17.10.2020,2,12.09.2020,2,26.11.2020,16,03.08.2020,10,29.08.2020,18,03.04.2021,4,15.03.2021,1,20.09.2020,8,19.08.2020,17,23.08.2020,5,07.08.2020,21,22.10.2020,2,08.09.2020,4,16.11.2020,10,06.11.2020,13,28.08.2020,1,26.03.2021,1,19.10.2020,3,06.09.2020,4,19.11.2020,2,06.10.2020,32,15.10.2020,2,03.08.2020,11,19.11.2020,6,24.03.2021,1,06.04.2021,1
04.06.2020,33,10.06.2020,20,18.12.2020,6,23.10.2020,9,31.10.2020,18,16.07.2020,9,15.02.2021,1,12.10.2020,5,19.08.2020,3,15.11.2020,1,07.11.2020,1,14.07.2020,82,02.10.2020,1,12.09.2020,4,21.07.2020,50,15.08.2020,1,15.11.2020,1,22.09.2020,5,22.08.2020,8,02.10.2020,4,22.10.2020,1,17.09.2020,10,27.11.2020,4,04.08.2020,19,01.09.2020,1,04.04.2021,3,18.03.2021,1,21.09.2020,1,21.08.2020,20,24.08.2020,4,10.08.2020,3,23.10.2020,9,10.09.2020,4,18.11.2020,16,07.11.2020,2,29.08.2020,13,31.03.2021,9,21.10.2020,5,07.09.2020,2,21.11.2020,11,08.10.2020,14,16.10.2020,16,05.08.2020,2,24.11.2020,3,27.03.2021,2,07.04.2021,3
06.06.2020,57,12.06.2020,43,29.01.2021,1,27.10.2020,18,01.11.2020,33,18.07.2020,7,18.02.2021,2,13.10.2020,2,20.08.2020,4,17.11.2020,31,08.11.2020,2,16.07.2020,5,03.10.2020,7,14.09.2020,5,22.07.2020,63,16.08.2020,3,16.11.2020,1,24.09.2020,28,24.08.2020,18,08.10.2020,1,24.10.2020,1,21.09.2020,4,28.11.2020,1,06.08.2020,38,06.09.2020,2,06.04.2021,3,21.03.2021,2,22.09.2020,1,24.08.2020,9,25.08.2020,2,11.08.2020,8,24.10.2020,6,11.09.2020,3,19.11.2020,1,08.11.2020,3,31.08.2020,5,01.04.2021,1,22.10.2020,7,08.09.2020,2,28.11.2020,1,09.10.2020,9,17.10.2020,14,07.08.2020,15,26.11.2020,3,12.04.2021,1,08.04.2021,1
08.06.2020,58,13.06.2020,16,05.02.2021,3,28.10.2020,1,02.11.2020,2,19.07.2020,1,02.03.2021,1,14.10.2020,2,21.08.2020,4,18.11.2020,3,12.11.2020,1,17.07.2020,14,07.10.2020,2,16.09.2020,11,24.07.2020,31,17.08.2020,3,17.11.2020,19,26.09.2020,23,26.08.2020,11,09.10.2020,2,25.10.2020,19,24.09.2020,2,30.11.2020,16,07.08.2020,36,09.09.2020,2,09.04.2021,7,25.03.2021,1,23.09.2020,1,26.08.2020,5,26.08.2020,5,12.08.2020,48,26.10.2020,5,12.09.2020,1,20.11.2020,12,09.11.2020,4,01.09.2020,1,07.04.2021,1,23.10.2020,9,09.09.2020,1,30.11.2020,1,10.10.2020,49,19.10.2020,1,09.08.2020,1,27.11.2020,4,04.05.2021,1,12.04.2021,4
09.06.2020,44,15.06.2020,27,11.02.2021,50,29.10.2020,22,04.11.2020,2,20.07.2020,16,08.03.2021,1,15.10.2020,17,22.08.2020,2,19.11.2020,1,14.11.2020,2,18.07.2020,28,08.10.2020,1,17.09.2020,1,25.07.2020,91,18.08.2020,2,18.11.2020,8,28.09.2020,8,27.08.2020,3,17.10.2020,1,27.10.2020,4,26.09.2020,2,02.12.2020,17,08.08.2020,38,14.09.2020,1,10.04.2021,12,27.03.2021,5,26.09.2020,1,29.08.2020,4,29.08.2020,2,14.08.2020,17,27.10.2020,10,14.09.2020,1,24.11.2020,29,10.11.2020,1,02.09.2020,1,08.04.2021,5,26.10.2020,1,12.09.2020,4,02.12.2020,11,12.10.2020,3,20.10.2020,2,11.08.2020,12,28.11.2020,16,08.05.2021,1,13.04.2021,3
11.06.2020,37,17.06.2020,32,26.02.2021,1,30.10.2020,6,05.11.2020,12,21.07.2020,7,10.03.2021,1,16.10.2020,3,23.08.2020,21,20.11.2020,11,15.11.2020,8,20.07.2020,10,09.10.2020,6,19.09.2020,1,27.07.2020,54,19.08.2020,5,19.11.2020,4,29.09.2020,6,28.08.2020,1,18.10.2020,1,28.10.2020,5,27.09.2020,2,03.12.2020,3,10.08.2020,19,17.09.2020,1,11.04.2021,1,30.03.2021,6,27.09.2020,11,31.08.2020,3,01.09.2020,1,15.08.2020,9,28.10.2020,1,22.09.2020,2,25.11.2020,1,11.11.2020,1,03.09.2020,2,09.04.2021,1,27.10.2020,18,15.09.2020,1,04.12.2020,2,13.10.2020,25,21.10.2020,22,12.08.2020,15,01.12.2020,6,10.05.2021,2,15.04.2021,2
13.06.2020,95,18.06.2020,23,02.03.2021,2,03.11.2020,5,06.11.2020,5,22.07.2020,6,12.03.2021,1,20.10.2020,10,24.08.2020,12,21.11.2020,3,17.11.2020,15,21.07.2020,55,12.10.2020,8,21.09.2020,9,28.07.2020,50,22.08.2020,1,21.11.2020,13,30.09.2020,6,29.08.2020,2,23.10.2020,4,29.10.2020,2,30.09.2020,7,08.12.2020,11,11.08.2020,25,24.09.2020,1,12.04.2021,2,31.03.2021,3,29.09.2020,8,02.09.2020,1,02.09.2020,1,17.08.2020,4,29.10.2020,2,23.09.2020,5,26.11.2020,1,12.11.2020,4,06.09.2020,4,11.04.2021,1,28.10.2020,1,17.09.2020,5,07.12.2020,1,16.10.2020,1,22.10.2020,6,13.08.2020,4,03.12.2020,3,26.05.2021,4,16.04.2021,1
14.06.2020,55,20.06.2020,42,03.03.2021,1,04.11.2020,2,08.11.2020,1,23.07.2020,4,15.03.2021,3,21.10.2020,1,26.08.2020,7,22.11.2020,1,18.11.2020,1,23.07.2020,75,13.10.2020,12,22.09.2020,6,30.07.2020,45,23.08.2020,2,22.11.2020,4,01.10.2020,3,30.08.2020,6,24.10.2020,18,30.10.2020,4,01.10.2020,1,09.12.2020,9,12.08.2020,25,25.09.2020,1,15.04.2021,6,01.04.2021,2,02.10.2020,5,04.09.2020,8,03.09.2020,1,19.08.2020,11,30.10.2020,3,24.09.2020,2,27.11.2020,26,13.11.2020,1,09.09.2020,2,12.04.2021,1,29.10.2020,19,18.09.2020,4,09.12.2020,11,17.10.2020,62,23.10.2020,28,14.08.2020,8,04.12.2020,5,12.06.2021,1,18.04.2021,1
