Displaying Data Collected From https://khro.health.go.ke/#/covid_19_tracker. Some Days are missing on the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Nairobi cases by day,Date,Mombasa,Date,Baringo,Date,Bomet,Date,Bungoma,Date,Busia,Date,Elgeyo-Marakwet,Date,Embu,Date,Garissa,Date,Homa Bay,Date,Isiolo,Date,Kajiado,Date,Kakamega,Date,Kericho(Number of Cases),Date,Kiambu,Date,Kilifi,Date,Kirinyaga,Date,Kisii,Date,Kisumu,Date,Kitui,Date,Kwale,Date,Laikipia,Date,Lamu,Date`,Machakos,Date,Makueni,Date,Mandera,Date,Marsabit,Date,Meru,Date,Migori,Date,Murang'a,Date,Nakuru,Date,Nandi,Date,Narok,Date,Nyamira,Date,Nyandarua,Date,Nyeri,Date,Samburu,Date,Siaya,Date,Taita Taveta,Date,Tharaka-Nithi,Date,Trans Nzoia,Date,Turkana,Date,Uasin Gishu,Date,Vihiga,Date,Wajir,Date,West Pokot
06.04.2020,13,14.04.2020,4,18.08.2020,5,31.07.2020,2,28.07.2020,2,01.06.2020,13,09.10.2020,1,09.08.2020,3,07.06.2020,1,11.08.2020,3,19.07.2020,1,19.05.2020,3,18.07.2020,1,16.07.2020,2,27.05.2020,4,31.05.2020,1,18.08.2020,1,22.07.2020,3,22.06.2020,1,03.07.2020,6,30.05.2020,2,20.07.2020,3,27.07.2020,1,17.06.2020,4,03.07.2020,3,04.11.2020,9,12.08.2020,2,19.07.2020,5,06.06.2020,1,03.07.2020,1,16.06.2020,3,04.08.2020,5,15.07.2020,1,11.08.2020,1,08.08.2020,3,20.07.2020,17,25.08.2020,3,02.07.2020,2,09.06.2020,3,22.08.2020,1,31.07.2020,1,30.07.2020,12,07.06.2020,2,06.08.2020,2,30.07.2020,2,14.10.2020,5
07.04.2020,8,17.04.2020,9,19.08.2020,1,04.08.2020,8,31.07.2020,1,02.06.2020,21,15.10.2020,2,10.08.2020,2,09.06.2020,1,14.08.2020,16,30.07.2020,2,20.05.2020,3,21.07.2020,1,18.07.2020,1,28.05.2020,3,02.06.2020,2,19.08.2020,1,24.07.2020,2,27.06.2020,2,19.07.2020,3,06.06.2020,1,21.07.2020,1,29.07.2020,1,20.06.2020,9,04.07.2020,17,05.11.2020,3,17.08.2020,2,21.07.2020,1,09.06.2020,6,05.07.2020,2,18.06.2020,5,07.08.2020,3,17.07.2020,1,12.08.2020,1,11.08.2020,13,21.07.2020,13,12.09.2020,1,10.07.2020,2,12.06.2020,1,23.08.2020,1,04.08.2020,2,03.08.2020,6,08.06.2020,1,11.08.2020,1,05.08.2020,1,16.10.2020,6
09.04.2020,3,18.04.2020,4,24.08.2020,2,05.08.2020,6,01.08.2020,1,03.06.2020,28,16.10.2020,1,11.08.2020,3,11.06.2020,1,18.08.2020,2,31.07.2020,3,22.05.2020,2,23.07.2020,1,20.07.2020,5,30.05.2020,2,07.06.2020,3,21.08.2020,4,25.07.2020,1,29.06.2020,1,21.07.2020,1,07.06.2020,1,22.07.2020,9,30.07.2020,2,21.06.2020,2,07.07.2020,2,07.11.2020,12,21.08.2020,1,24.07.2020,1,10.06.2020,4,10.07.2020,1,20.06.2020,3,08.08.2020,1,18.07.2020,1,18.08.2020,1,13.08.2020,1,22.07.2020,1,14.09.2020,2,22.07.2020,2,16.06.2020,1,24.08.2020,1,05.08.2020,3,06.08.2020,3,09.06.2020,1,13.08.2020,2,08.08.2020,1,19.10.2020,4
11.04.2020,4,20.04.2020,7,29.08.2020,2,06.08.2020,1,02.08.2020,1,04.06.2020,15,17.10.2020,1,12.08.2020,3,16.06.2020,1,20.08.2020,4,03.08.2020,1,25.05.2020,6,24.07.2020,1,21.07.2020,3,31.05.2020,1,08.06.2020,4,22.08.2020,12,28.07.2020,5,30.06.2020,1,29.07.2020,1,08.06.2020,1,25.07.2020,5,10.08.2020,3,22.06.2020,2,08.07.2020,1,09.11.2020,11,19.09.2020,1,29.07.2020,2,12.06.2020,3,18.07.2020,3,22.06.2020,2,10.08.2020,11,19.07.2020,5,20.08.2020,2,14.08.2020,3,23.07.2020,8,16.09.2020,2,24.07.2020,1,17.06.2020,2,04.09.2020,1,07.08.2020,1,10.08.2020,2,12.06.2020,1,17.08.2020,1,10.08.2020,3,21.10.2020,12
12.04.2020,5,21.04.2020,6,03.09.2020,1,07.08.2020,3,07.08.2020,7,05.06.2020,55,19.10.2020,2,14.08.2020,3,17.06.2020,3,21.08.2020,7,08.08.2020,10,28.05.2020,5,25.07.2020,2,22.07.2020,15,02.06.2020,3,09.06.2020,3,25.08.2020,3,31.07.2020,1,09.07.2020,1,03.08.2020,1,16.06.2020,1,28.07.2020,6,13.08.2020,10,24.06.2020,4,13.07.2020,3,12.11.2020,9,25.09.2020,2,30.07.2020,2,15.06.2020,2,21.07.2020,9,24.06.2020,2,11.08.2020,6,20.07.2020,3,22.08.2020,1,19.08.2020,3,24.07.2020,5,19.09.2020,1,29.07.2020,8,19.06.2020,1,13.09.2020,5,08.08.2020,1,12.08.2020,5,13.06.2020,1,20.08.2020,1,14.08.2020,3,23.10.2020,15
14.04.2020,6,23.04.2020,5,04.09.2020,2,08.08.2020,1,12.08.2020,9,06.06.2020,29,20.10.2020,2,17.08.2020,1,18.06.2020,5,26.08.2020,15,09.08.2020,1,29.05.2020,1,28.07.2020,1,25.07.2020,7,03.06.2020,3,10.06.2020,2,26.08.2020,4,02.08.2020,1,11.07.2020,2,08.08.2020,4,20.06.2020,15,31.07.2020,11,14.08.2020,5,25.06.2020,3,14.07.2020,2,14.11.2020,2,26.09.2020,1,01.08.2020,1,17.06.2020,1,22.07.2020,2,25.06.2020,1,12.08.2020,3,21.07.2020,1,24.08.2020,1,20.08.2020,3,25.07.2020,2,20.09.2020,1,30.07.2020,3,23.06.2020,1,24.09.2020,6,10.08.2020,17,13.08.2020,2,18.06.2020,2,21.08.2020,1,13.09.2020,1,27.10.2020,16
16.04.2020,12,25.04.2020,6,11.09.2020,1,10.08.2020,7,13.08.2020,1,08.06.2020,13,21.10.2020,1,19.08.2020,2,23.06.2020,1,30.08.2020,1,11.08.2020,4,30.05.2020,2,30.07.2020,2,27.07.2020,9,06.06.2020,14,11.06.2020,1,27.08.2020,9,04.08.2020,5,12.07.2020,1,11.08.2020,2,26.06.2020,1,01.08.2020,3,15.08.2020,3,26.06.2020,2,15.07.2020,2,15.11.2020,3,29.09.2020,2,02.08.2020,1,20.06.2020,3,23.07.2020,3,27.06.2020,9,14.08.2020,3,22.07.2020,11,26.08.2020,1,21.08.2020,1,26.07.2020,1,14.10.2020,1,31.07.2020,7,24.06.2020,1,26.09.2020,1,11.08.2020,3,17.08.2020,10,22.06.2020,4,29.08.2020,1,28.09.2020,2,28.10.2020,2
17.04.2020,8,26.04.2020,4,01.10.2020,1,11.08.2020,1,15.08.2020,1,09.06.2020,17,22.10.2020,6,21.08.2020,1,27.06.2020,2,11.09.2020,1,12.08.2020,1,01.06.2020,4,03.08.2020,12,28.07.2020,1,07.06.2020,1,14.06.2020,7,28.08.2020,1,05.08.2020,3,14.07.2020,2,12.08.2020,4,27.06.2020,1,02.08.2020,2,17.08.2020,11,28.06.2020,8,16.07.2020,14,19.11.2020,5,06.10.2020,1,03.08.2020,1,22.06.2020,10,24.07.2020,1,28.06.2020,1,17.08.2020,2,23.07.2020,1,03.09.2020,3,23.08.2020,1,27.07.2020,2,19.10.2020,1,03.08.2020,1,25.06.2020,3,02.10.2020,2,12.08.2020,1,20.08.2020,3,23.06.2020,5,08.09.2020,1,13.10.2020,3,01.11.2020,1
20.04.2020,6,28.04.2020,9,08.10.2020,10,12.08.2020,10,24.08.2020,1,10.06.2020,38,23.10.2020,7,22.08.2020,3,02.07.2020,4,16.09.2020,2,18.08.2020,2,02.06.2020,3,04.08.2020,1,29.07.2020,8,09.06.2020,5,15.06.2020,2,05.09.2020,1,06.08.2020,5,16.07.2020,4,13.08.2020,2,30.06.2020,1,03.08.2020,15,19.08.2020,1,29.06.2020,1,17.07.2020,1,21.11.2020,3,09.10.2020,1,04.08.2020,7,23.06.2020,29,25.07.2020,4,30.06.2020,5,18.08.2020,4,25.07.2020,10,19.09.2020,1,27.08.2020,1,28.07.2020,5,23.10.2020,2,06.08.2020,8,26.06.2020,1,05.10.2020,1,13.08.2020,1,24.08.2020,9,24.06.2020,1,11.09.2020,6,14.10.2020,1,03.11.2020,31
22.04.2020,5,29.04.2020,8,14.10.2020,6,14.08.2020,19,25.08.2020,3,11.06.2020,12,26.10.2020,3,23.08.2020,24,03.07.2020,1,23.09.2020,2,19.08.2020,2,04.06.2020,1,06.08.2020,2,30.07.2020,7,10.06.2020,2,19.06.2020,5,21.09.2020,1,07.08.2020,5,18.07.2020,1,14.08.2020,41,16.07.2020,1,05.08.2020,6,21.08.2020,15,30.06.2020,33,18.07.2020,5,23.11.2020,1,13.10.2020,2,05.08.2020,3,24.06.2020,17,26.07.2020,5,02.07.2020,2,20.08.2020,4,27.07.2020,2,29.09.2020,1,28.08.2020,2,29.07.2020,4,26.10.2020,1,07.08.2020,1,07.07.2020,8,06.10.2020,1,15.08.2020,4,26.08.2020,2,26.06.2020,9,23.09.2020,1,15.10.2020,2,04.11.2020,6
