,FeMale,Male,0-9,10-19,20-29,30-39,40-49,50-59,60+,0-9,10-19,20-29,30-39,40-49,50-59,60+,,,,,,,
09/16/2020,28,64,,,,,,,,,,,,,,,,,,,,,
09/15/2020,,,,,,,,,,,,,,,,,,,,,,,
09/14/2020,,,,,,,,,,,,,,,,,,,,,,,
09/13/2020,,,,,,,,,,,,,,,,,,,,,,,
09/12/2020,,,,,,,,,,,,,,,,,,,,,,,
09/11/2020,54,136,,,,,,,,,,,,,,,,,,,,,
09/10/2020,58,85,,,,,,,,,,,,,,,,,,,,,
09/09/2020,17,31,,,,,,,,,,,,,,,,,,,,,
09/08/2020,77,74,,,,,,,,,,,,,,,,,,,,,
09/07/2020,51,51,,,,,,,,,,,,,,,,,,,,,
09/06/2020,,,,,,,,,,,,,,,,,,,,,,,
09/05/2020,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,80,132,,,,,,,,,,,,,,,,,,,,,
09/02/2020,,,,,,,,,,,,,,,,,,,,,,,
09/01/2020,,,,,,,,,,,,,,,,,,,,,,,
08/31/2020,,,,,,,,,,,,,,,,,,,,,,,
08/30/2020,,,,,,,,,,,,,,,,,,,,,,,
08/29/2020,,,,,,,,,,,,,,,,,,,,,,,
08/28/2020,,,,,,,,,,,,,,,,,,,,,,,
08/27/2020,,,,,,,,,,,,,,,,,,,,,,,
08/26/2020,,,,,,,,,,,,,,,,,,,,,,,
08/25/2020,,,,,,,,,,,,,,,,,,,,,,,
08/24/2020,,,,,,,,,,,,,,,,,,,,,,,
08/23/2020,,,,,,,,,,,,,,,,,,,,,,,
08/22/2020,,,,,,,,,,,,,,,,,,,,,,,
08/21/2020,,,,,,,,,,,,,,,,,,,,,,,
08/20/2020,,,,,,,,,,,,,,,,,,,,,,,
08/19/2020,,,,,,,,,,,,,,,,,,,,,,,
08/18/2020,93,178,,,,,,,,,,,,,,,,,,,,,
08/17/2020,,,,,,,,,,,,,,,,,,,,,,,
08/16/2020,,,,,,,,,,,,,,,,,,,,,,,
08/15/2020,,,,,,,,,,,,,,,,,,,,,,,
08/14/2020,,,,,,,,,,,,,,,,,,,,,,,
08/13/2020,,,,,,,,,,,,,,,,,,,,,,,
08/12/2020,,,,,,,,,,,,,,,,,,,,,,,
08/11/2020,,,,,,,,,,,,,,,,,,,,,,,
08/10/2020,,,,,,,,,,,,,,,,,,,,,,,
08/09/2020,,,,,,,,,,,,,,,,,,,,,,,
08/08/2020,,,,,,,,,,,,,,,,,,,,,,,
08/07/2020,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020,,,,,,,,,,,,,,,,,,,,,,,
08/05/2020,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020,,,,,,,,,,,,,,,,,,,,,,,
08/01/2020,,,,,,,,,,,,,,,,,,,,,,,
07/31/2020,,,,,,,,,,,,,,,,,,,,,,,
07/30/2020,,,,,,,,,,,,,,,,,,,,,,,
07/29/2020,,,,,,,,,,,,,,,,,,,,,,,
07/28/2020,,,,,,,,,,,,,,,,,,,,,,,
07/27/2020,,,,,,,,,,,,,,,,,,,,,,,
07/26/2020,,,,,,,,,,,,,,,,,,,,,,,
07/25/2020,,,,,,,,,,,,,,,,,,,,,,,
07/24/2020,,,,,,,,,,,,,,,,,,,,,,,
07/23/2020,,,,,,,,,,,,,,,,,,,,,,,
07/22/2020,276,361,,,,,,,,,,,,,,,,,,,,,
07/21/2020,,,,,,,,,,,,,,,,,,,,,,,
07/20/2020,155,263,,,,,,,,,,,,,,,,,,,,,
07/19/2020,242,361,,,,,,,,,,,,,,,,,,,,,
07/18/2020,263,425,,,,,,,,,,,,,,,,,,,,,
07/17/2020,,,,,,,,,,,,,,,,,,,,,,,
07/16/2020,124,297,,,,,,,,,,,,,,,,,,,,,
07/15/2020,141,320,,,,,,,,,,,,,,,,,,,,,
07/14/2020,179,318,,,,,,,,,,,,,,,,,,,,,
07/13/2020,83,106,,,,,,,,,,,,,,,,,,,,,
07/12/2020,126,253,,,,,,,,,,,,,,,,,,,,,
07/11/2020,112,166,,,,,,,,,,,,,,,,,,,,,
07/10/2020,149,324,,,,,,,,,,,,,,,,,,,,,
07/09/2020,167,280,,,,,,,,,,,,,,,,,,,,,
07/08/2020,,,,,,,,,,,,,,,,,,,,,,,
07/07/2020,,,,,,,,,,,,,,,,,,,,,,,
07/06/2020,58,123,,,,,,,,,,,,,,,,,,,,,
07/05/2020,92,217,,,,,,,,,,,,,,,,,,,,,
07/04/2020,123,266,,,,,,,,,,,,,,,,,,,,,
07/03/2020,83,164,,,,,,,,,,,,,,,,,,,,,
07/02/2020,108,160,,,,,,,,,,,,,,,,,,,,,
07/01/2020,92,215,,,,,,,,,,,,,,,,,,,,,
06/30/2020,76,100,,,,,,,,,,,,,,,,,,,,,
06/29/2020,36,84,,,,,,,,,,,,,,,,,,,,,
06/28/2020,100,159,,,,,,,,,,,,,,,,,,,,,
06/27/2020,97,181,,,,,,,,,,,,,,,,,,,,,
06/26/2020,55,94,,,,,,,,,,,,,,,,,,,,,
06/25/2020,55,123,,,,,,,,,,,,,,,,,,,,,
06/24/2020,68,186,,,,,,,,,,,,,,,,,,,,,
06/23/2020,35,120,,,,,,,,,,,,,,,,,,,,,
06/22/2020,12,47,,,,,,,,,,,,,,,,,,,,,
06/21/2020,84,176,,,,,,,,,,,,,,,,,,,,,
06/20/2020,28,76,,,,,,,,,,,,,,,,,,,,,
06/19/2020,34,83,,,,,,,,,,,,,,,,,,,,,
06/18/2020,62,151,,,,,,,,,,,,,,,,,,,,,
06/17/2020,55,129,,,,,,,,,,,,,,,,,,,,,
06/16/2020,45,88,,,,,,,,,,,,,,,,,,,,,
06/15/2020,,,,,,,,,,,,,,,,,,,,,,,
06/14/2020,40,93,,,,,,,,,,,,,,,,,,,,,
06/13/2020,36,116,,,,,,,,,,,,,,,,,,,,,
06/12/2020,28,62,,,,,,,,,,,,,,,,,,,,,
06/11/2020,29,92,,,,,,,,,,,,,,,,,,,,,
06/10/2020,28,77,,,,,,,,,,,,,,,,,,,,,
06/09/2020,33,84,,,,,,,,,,,,,,,,,,,,,
06/08/2020,38,57,,,,,,,,,,,,,,,,,,,,,
06/07/2020,42,125,,,,,,,,,,,,,,,,,,,,,
06/06/2020,28,98,,,,,,,,,,,,,,,,,,,,,
06/05/2020,36,98,,,,,,,,,,,,,,,,,,,,,
06/04/2020,24,100,,,,,,,,,,,,,,,,,,,,,
06/03/2020,33,90,,,,,,,,,,,,,,,,,,,,,
06/02/2020,22,50,,,,,,,,,,,,,,,,,,,,,
06/01/2020,24,35,,,,,,,,,,,,,,,,,,,,,
05/31/2020,19,55,,,,,,,,,,,,,,,,,,,,,
05/30/2020,33,110,,,,,,,,,,,,,,,,,,,,,
05/29/2020,,,,,,,,,,,,,,,,,,,,,,,
05/28/2020,60,87,,,,,,,,,,,,,,,,,,,,,
05/27/2020,45,78,,,,,,,,,,,,,,,,,,,,,
05/26/2020,17,45,,,,,,,,,,,,,,,,,,,,,
05/25/2020,,,,,,,,,,,,,,,,,,,,,,,
05/24/2020,,,,,,,,,,,,,,,,,,,,,,,
05/23/2020,,,,,,,,,,,,,,,,,,,,,,,
05/22/2020,,,,,,,,,,,,,,,,,,,,,,,
05/21/2020,,,,,,,,,,,,,,,,,,,,,,,
05/20/2020,23,43,,,,,,,,,,,,,,,,,,,,,
05/19/2020,2,23,,,,,,,,,,,,,,,,,,,,,
05/18/2020,,,,,,,,,,,,,,,,,,,,,,,
05/17/2020,,,,,,,,,,,,,,,,,,,,,,,
05/16/2020,,,,,,,,,,,,,,,,,,,,,,,
05/15/2020,,,,,,,,,,,,,,,,,,,,,,,
05/14/2020,,,,,,,,,,,,,,,,,,,,,,,
05/13/2020,,,,,,,,,,,,,,,,,,,,,,,
05/12/2020,5,10,,,,,,,,,,,,,,,,,,,,,
05/11/2020,,,,,,,,,,,,,,,,,,,,,,,
05/10/2020,10,13,,,,,,,,,,,,,,,,,,,,,
05/09/2020,,,,,,,,,,,,,,,,,,,,,,,
05/08/2020,5,9,,,,,,,,,,,,,,,,,,,,,
05/07/2020,4,21,,,,,,,,,,,,,,,,,,,,,
05/06/2020,16,31,,,,,,,,,,,,,,,,,,,,,
05/05/2020,15,30,,,,,,,,,,,,,,,,,,,,,
05/04/2020,7,23,,,,,,,,,,,,,,,,,,,,,
05/03/2020,14,10,4,1,4,,,,6,,,,,,,,,,,,,,
05/02/2020,,,,,,,,,,,,,,,,,,,,,,,
05/01/2020,,,,,,,,,,,,,,,,,,,,,,,
04/30/2020,,,,,,,,,,,,,,,,,,,,,,,
04/29/2020,4,6,,,,,,,,,,,,,,,,,,,,,
04/28/2020,,,,,,,,,,,,,,,,,,,,,,,
04/27/2020,,,,,,,,,,,,,,,,,,,,,,,
04/26/2020,,,,,,,,,,,,,,,,,,,,,,,
04/25/2020,,,,,,,,,,,,,,,,,,,,,,,
04/24/2020,9,7,,,,,,,,,,,,,,,,,,,,,
04/23/2020,8,9,,,,,,,,,,,,,,,,,,,,,
04/22/2020,2,5,,,,,,,,,,,,,,,,,,,,,
04/21/2020,8,7,,,,,,,,,,,,,,,,,,,,,
04/20/2020,6,5,,,,,,,,,,,,,,,,,,,,,
04/19/2020,,,,,,,,,,,,,,,,,,,,,,,
04/18/2020,4,12,0,6,2,52,21,40,20,,,,,,,,,,,,,,
04/17/2020,,,,,,,,,,,,,,,,,,,,,,,
04/16/2020,,,,,,,,,,,,,,,,,,,,,,,
04/15/2020,,,,,,,,,,,,,,,,,,,,,,,
04/14/2020,,,,,,,,,,,,,,,,,,,,,,,
04/13/2020,5,6,,,,,,,,,,,,,,,,,,,,,
04/12/2020,1,5,,,,,,,,,,,,,,,,,,,,,
04/11/2020,82,109,,,,,,,,,,,,,,,,,,,,,
04/10/2020,3,2,,,,,,,,,,,,,,,,,,,,,
04/09/2020,2,3,,,,,,,,,,,,,,,,,,,,,
04/08/2020,,,,,,,,,,,,,,,,,,,,,,,
04/07/2020,6,8,,,,,,,,,,,,,,,,,,,,,
04/06/2020,7,9,,,,,,,,,,,,,,,,,,,,,
04/05/2020,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,1,3,,,,,,,,,,,,,,,,,,,,,
04/03/2020,4,8,,,,,,,,,,,,,,,,,,,,,
04/02/2020,9,13,,,,,,,,,,,,,,,,,,,,,
04/01/2020,,,,,,,,,,,,,,,,,,,,,,,
03/31/2020,,,,,,,,,,,,,,,,,,,,,,,
03/30/2020,18,26,,,,,,,,,,,,,,,,,,,,,
03/29/2020,18,24,,,,,,,,,,,,,,,,,,,,,
03/28/2020,16,21,,,,,,,,,,,,,,,,,,,,,
03/27/2020,,,,,,,,,,,,,,,,,,,,,,,
03/26/2020,,,,,,,,,,,,,,,,,,,,,,,
03/25/2020,,,,,,,,,,,,,,,,,,,,,,,
03/24/2020,,,,,,,,,,,,,,,,,,,,,,,
03/23/2020,,,,,,,,,,,,,,,,,,,,,,,
03/22/2020,,,,,,,,,,,,,,,,,,,,,,,
03/21/2020,,,,,,,,,,,,,,,,,,,,,,,
03/20/2020,,,,,,,,,,,,,,,,,,,,,,,
03/19/2020,,,,,,,,,,,,,,,,,,,,,,,
03/18/2020,,,,,,,,,,,,,,,,,,,,,,,
03/17/2020,,,,,,,,,,,,,,,,,,,,,,,
03/16/2020,,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,,,,,,,,,,,,,,,,,,,,,,,
03/14/2020,,,,,,,,,,,,,,,,,,,,,,,
03/13/2020,,,,,,,,,,,,,,,,,,,,,,,
03/12/2020,,,,,,,,,,,,,,,,,,,,,,,
03/11/2020,,,,,,,,,,,,,,,,,,,,,,,
03/10/2020,,,,,,,,,,,,,,,,,,,,,,,
03/09/2020,,,,,,,,,,,,,,,,,,,,,,,
03/08/2020,,,,,,,,,,,,,,,,,,,,,,,
03/07/2020,,,,,,,,,,,,,,,,,,,,,,,
03/06/2020,,,,,,,,,,,,,,,,,,,,,,,
03/05/2020,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,,,,,,,,,,,,,,,,,,,,,,,
03/02/2020,,,,,,,,,,,,,,,,,,,,,,,
03/01/2020,,,,,,,,,,,,,,,,,,,,,,,
02/29/2020,,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,,,,,,,,,,,,,,,,,,,,,,,
02/27/2020,,,,,,,,,,,,,,,,,,,,,,,
02/26/2020,,,,,,,,,,,,,,,,,,,,,,,
02/25/2020,,,,,,,,,,,,,,,,,,,,,,,
02/24/2020,,,,,,,,,,,,,,,,,,,,,,,
02/23/2020,,,,,,,,,,,,,,,,,,,,,,,
02/22/2020,,,,,,,,,,,,,,,,,,,,,,,
02/21/2020,,,,,,,,,,,,,,,,,,,,,,,
02/20/2020,,,,,,,,,,,,,,,,,,,,,,,
02/19/2020,,,,,,,,,,,,,,,,,,,,,,,
02/18/2020,,,,,,,,,,,,,,,,,,,,,,,
02/17/2020,,,,,,,,,,,,,,,,,,,,,,,
02/16/2020,,,,,,,,,,,,,,,,,,,,,,,
02/15/2020,,,,,,,,,,,,,,,,,,,,,,,
02/14/2020,,,,,,,,,,,,,,,,,,,,,,,
02/13/2020,,,,,,,,,,,,,,,,,,,,,,,
02/12/2020,,,,,,,,,,,,,,,,,,,,,,,
02/11/2020,,,,,,,,,,,,,,,,,,,,,,,
02/10/2020,,,,,,,,,,,,,,,,,,,,,,,
02/09/2020,,,,,,,,,,,,,,,,,,,,,,,
02/08/2020,,,,,,,,,,,,,,,,,,,,,,,
02/07/2020,,,,,,,,,,,,,,,,,,,,,,,
02/06/2020,,,,,,,,,,,,,,,,,,,,,,,
02/05/2020,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,,,,,,,,,,,,,,,,
02/03/2020,,,,,,,,,,,,,,,,,,,,,,,
02/02/2020,,,,,,,,,,,,,,,,,,,,,,,
