,FeMale,Male,0-9,10-19,20-29,30-39,40-49,50-59,60+,0-9,10-19,20-29,30-39,40-49,50-59,60+,,,,,,,
07/14/2021,235,245,14,26,79,114,89,67,91,0,0,0,0,1,0,4,,,,,,,
07/13/2021,381,380,24,142,98,152,120,92,133,0,0,1,0,1,3,4,,,,,,,
07/12/2021,86,102,4,9,38,53,43,27,14,0,0,0,0,0,0,1,,,,,,,
07/11/2021,97,144,7,16,38,72,38,39,31,0,0,1,0,0,0,0,,,,,,,
07/10/2021,262,274,21,29,110,128,104,59,85,0,0,0,0,0,0,3,,,,,,,
07/09/2021,221,231,13,19,74,121,87,51,87,0,0,0,0,1,0,1,,,,,,,
07/08/2021,248,318,18,41,94,130,109,82,92,0,0,1,1,0,1,8,,,,,,,
07/07/2021,219,287,8,20,68,142,94,80,94,0,0,0,1,0,3,4,,,,,,,
07/06/2021,180,220,10,25,84,99,67,51,640,0,0,0,0,2,5,,,,,,,,
07/05/2021,73,112,2,19,23,46,36,32,27,0,0,0,1,3,2,9,,,,,,,
07/04/2021,119,158,21,15,47,60,47,39,48,0,0,1,0,1,0,2,,,,,,,
07/03/2021,257,274,26,44,95,140,87,67,72,0,0,0,2,2,6,10,,,,,,,
07/02/2021,213,310,,,,,,,,,,,,,,,,,,,,,
07/01/2021,146,230,38,15,58,94,54,63,54,0,0,0,0,1,1,4,,,,,,,
06/30/2021,265,293,25,41,75,143,108,68,98,0,0,0,0,1,6,6,,,,,,,
06/29/2021,435,284,25,51,127,190,106,101,119,0,1,0,0,0,0,8,,,,,,,
06/28/2021,117,170,13,48,37,69,34,35,51,1,0,0,2,2,3,9,,,,,,,
06/27/2021,94,110,3,11,38,53,38,25,36,0,0,1,1,1,2,16,,,,,,,
06/26/2021,209,299,20,35,96,104,87,62,104,0,0,0,2,2,4,10,,,,,,,
06/25/2021,295,351,17,60,101,149,124,83,1120,0,0,0,1,1,4,10,,,,,,,
06/24/2021,277,464,9,52,142,175,148,104,111,0,0,1,1,2,5,15,,,,,,,
06/23/2021,267,316,16,27,89,136,103,100,112,0,1,0,3,1,0,18,,,,,,,
06/22/2021,267,316,16,27,89,136,103,100,112,0,1,0,3,1,0,18,,,,,,,
06/21/2021,101,117,9,8,31,60,55,21,34,0,0,1,0,1,1,2,,,,,,,
06/20/2021,151,132,12,11,60,73,45,33,49,0,0,0,2,0,0,7,,,,,,,
06/19/2021,318,396,34,44,140,180,126,86,104,0,1,0,1,0,0,8,,,,,,,
06/18/2021,338,458,28,26,129,195,144,125,149,0,0,0,1,0,1,1,,,,,,,
06/17/2021,300,360,31,32,140,149,128,77,1030,0,0,0,1,1,4,,,,,,,,
06/16/2021,208,277,30,28,75,119,96,60,77,0,0,0,0,0,0,0,,,,,,,
06/15/2021,190,266,31,25,81,110,78,60,71,0,0,0,1,0,0,6,,,,,,,
06/14/2021,145,199,8,14,52,100,55,45,70,0,0,0,2,0,0,9,,,,,,,
06/13/2021,81,80,10,4,29,43,22,21,32,0,0,0,3,1,0,10,,,,,,,
06/12/2021,188,215,15,15,68,98,70,68,69,0,0,1,1,2,4,10,,,,,,,
06/11/2021,173,315,13,38,100,100,91,60,86,0,0,0,1,3,1,11,,,,,,,
06/10/2021,219,405,22,43,109,161,116,87,86,0,0,0,2,1,5,9,,,,,,,
06/09/2021,246,319,37,31,95,146,108,62,110,0,0,0,4,1,5,9,,,,,,,
06/08/2021,186,247,18,27,67,105,75,54,87,1,0,0,1,2,1,13,,,,,,,
06/07/2021,69,79,7,9,7,32,21,27,45,0,1,0,2,1,4,13,,,,,,,
06/06/2021,50,116,11,13,26,35,37,20,24,0,0,0,1,1,5,16,,,,,,,
06/05/2021,149,234,16,29,62,91,65,41,79,0,0,0,4,4,2,14,,,,,,,
06/04/2021,127,157,15,19,48,68,49,45,40,0,0,1,0,0,4,12,,,,,,,
06/03/2021,203,229,30,38,71,100,76,51,66,0,0,0,3,1,4,9,,,,,,,
06/02/2021,66,76,1,4,23,42,21,23,28,0,1,0,0,1,1,15,,,,,,,
06/01/2021,153,196,25,26,69,83,51,332,63,0,0,1,0,2,5,8,,,,,,,
05/31/2021,32,56,1,8,14,17,14,16,18,0,0,0,1,1,1,12,,,,,,,
05/30/2021,185,259,18,25,98,114,77,55,57,0,0,0,0,1,3,13,,,,,,,
05/29/2021,,,,,,,,,,,,,,,,,,,,,,,
05/28/2021,,,,,,,,,,,,,,,,,,,,,,,
05/27/2021,167,174,12,44,53,74,56,38,64,0,0,0,1,2,0,8,,,,,,,
05/26/2021,,,,,,,,,,,,,,,,,,,,,,,
05/25/2021,156,226,8,55,62,96,54,47,60,0,0,0,1,2,1,9,,,,,,,
05/24/2021,,,,,,,,,,,,,,,,,,,,,,,
05/23/2021,101,223,15,19,63,68,74,37,48,0,0,0,0,2,1,7,,,,,,,
05/22/2021,208,365,23,84,95,125,89,61,96,0,0,0,1,0,1,4,,,,,,,
05/21/2021,195,464,26,37,157,169,103,85,82,0,0,0,0,1,0,2,,,,,,,
05/20/2021,162,332,14,20,109,140,83,50,78,0,0,0,0,0,1,4,,,,,,,
05/19/2021,162,214,25,25,48,99,67,47,65,0,1,1,0,0,4,8,,,,,,,
05/18/2021,189,280,13,16,83,106,82,69,100,0,0,1,0,0,0,7,,,,,,,
05/17/2021,27,45,3,3,8,15,20,13,10,0,0,0,1,0,2,7,,,,,,,
05/16/2021,44,42,3,4,13,23,11,14,18,0,0,0,0,1,0,1,,,,,,,
05/15/2021,155,237,16,24,51,70,50,28,28,0,0,0,4,2,3,16,,,,,,,
05/14/2021,155,237,19,21,71,104,63,46,68,0,0,0,1,0,1,6,,,,,,,
05/13/2021,128,206,15,17,59,83,56,44,60,0,0,0,0,2,3,13,,,,,,,
05/12/2021,21,45,3,2,11,14,9,9,18,0,0,0,1,0,1,10,,,,,,,
05/11/2021,,,,,,,,,,,,,,,,,,,,,,,
05/10/2021,,,,,,,,,,,,,,,,,,,,,,,
05/09/2021,112,204,,,,,,,,,,,,,,,,,,,,,
05/08/2021,218,354,,,,,,,,,,,,,,,,,,,,,
05/07/2021,224,344,,,,,,,,,,,,,,,,,,,,,
05/06/2021,301,404,40,41,118,154,132,97,123,1,0,0,1,1,4,18,,,,,,,
05/05/2021,223,266,24,31,90,122,91,72,59,0,0,0,2,4,1,13,,,,,,,
05/04/2021,150,195,10,17,53,86,59,59,61,0,0,0,2,4,4,14,,,,,,,
05/03/2021,57,80,2,6,16,39,24,21,29,1,0,1,3,2,1,10,,,,,,,
05/02/2021,158,211,7,9,54,109,77,50,63,0,1,0,1,2,3,12,,,,,,,
05/01/2021,306,429,24,47,115,190,131,98,130,0,0,0,0,3,1,16,,,,,,,
04/30/2021,215,282,10,22,84,105,97,71,108,0,0,1,0,1,3,12,,,,,,,
04/29/2021,198,297,,,,,,,,,,,,,,,,,,,,,
04/28/2021,335,499,,,,,,,,,,,,,,,,,,,,,
04/27/2021,231,280,22,34,69,104,90,86,106,1,0,0,2,2,3,14,,,,,,,
04/26/2021,89,105,2,5,20,60,35,36,36,1,0,0,4,0,4,12,,,,,,,
04/25/2021,169,300,,,,,,,,,,,,,,,,,,,,,
04/24/2021,448,705,,,,,,,,,,,,,,,,,,,,,
04/23/2021,323,450,7,37,146,185,137,113,148,0,0,0,0,2,5,16,,,,,,,
04/22/2021,385,519,29,47,105,216,189,113,206,0,0,1,1,5,2,11,,,,,,,
04/21/2021,,,,,,,,,,,,,,,,,,,,,,,
04/20/2021,271,358,16,38,97,126,124,93,135,1,0,0,0,2,2,13,,,,,,,
04/19/2021,106,135,4,11,33,58,56,39,40,0,0,1,1,2,3,11,,,,,,,
04/18/2021,215,151,,,,,,,,,,,,,,,,,,,,,
04/17/2021,427,600,,,,,,,,,,,,,,,,,,,,,
04/16/2021,412,629,,,,,,,,0,0,1,2,2,5,9,,,,,,,
04/15/2021,472,619,,,,,,,,0,0,0,1,0,0,3,,,,,,,
04/14/2021,418,563,32,53,154,242,192,139,169,0,0,0,0,2,5,19,,,,,,,
04/13/2021,448,543,34,43,116,235,214,161,188,1,0,0,2,0,8,15,,,,,,,
04/12/2021,193,293,16,21,81,119,104,71,74,1,1,0,2,1,5,10,,,,,,,
04/11/2021,,,,,,,,,,,,,,,,,,,,,,,
04/10/2021,,,,,,,,,,,,,,,,,,,,,,,
04/09/2021,481,610,35,53,164,262,219,188,170,0,0,0,3,1,2,11,,,,,,,
04/08/2021,772,926,57,62,228,441,343,268,299,,,,,,,,,,,,,,
04/07/2021,681,842,52,69,225,371,288,243,275,,,,,,,,,,,,,,
04/06/2021,185,209,14,23,52,97,69,66,73,,,,,,,,,,,,,,
04/05/2021,210,250,14,17,66,111,98,73,81,,,,,,,,45,17,91,199,312,495,1062
04/04/2021,408,503,,,,,,,,,,,,,,,,,,,,,
04/03/2021,583,601,,,,,,,,,,,,,,,,,,,,,
04/02/2021,,,,,,,,,,,,,,,,,,,,,,,
04/01/2021,,,,,,,,,,,,,,,,,,,,,,,
03/31/2021,641,771,,,,,,,,,,,,,,,,,,,,,
03/30/2021,688,842,,,,,,,,,,,,,,,,,,,,,
03/29/2021,418,484,,,,,,,,,,,,,,,,,,,,,
03/28/2021,464,420,,,,,,,,,,,,,,,,,,,,,
03/27/2021,918,1090,,,,,,,,,,,,,,,,,,,,,
03/26/2021,86,108,,,,,,,,,,,,,,,,,,,,,
03/25/2021,,,,,,,,,,,,,,,,,,,,,,,
03/24/2021,,,,,,,,,,,,,,,,,,,,,,,
03/23/2021,537,590,,,,,,,,,,,,,,,,,,,,,
03/22/2021,544,586,,,,,,,,,,,,,,,,,,,,,
03/21/2021,,,,,,,,,,,,,,,,,,,,,,,
03/20/2021,,,,,,,,,,,,,,,,,,,,,,,
03/19/2021,635,719,,,,,,,,,,,,,,,,,,,,,
03/18/2021,534,691,,,,,,,,,,,,,,,,,,,,,
03/17/2021,556,723,,,,,,,,,,,,,,,,,,,,,
03/16/2021,506,558,,,,,,,,,,,,,,,,,,,,,
03/15/2021,159,272,,,,,,,,,,,,,,,,,,,,,
03/14/2021,339,411,,,,,,,,,,,,,,,,,,,,,
03/13/2021,,,,,,,,,,,,,,,,,,,,,,,
03/12/2021,,,,,,,,,,,,,,,,,,,,,,,
03/11/2021,339,490,,,,,,,,,,,,,,,,,,,,,
03/10/2021,301,413,,,,,,,,,,,,,,,,,,,,,
03/09/2021,,,,,,,,,,,,,,,,,,,,,,,
03/08/2021,139,198,,,,,,,,,,,,,,,,,,,,,
03/07/2021,186,279,,,,,,,,,,,,,,,,,,,,,
03/06/2021,249,384,,,,,,,,,,,,,,,,,,,,,
03/05/2021,154,248,,,,,,,,,,,,,,,,,,,,,
03/04/2021,198,330,,,,,,,,,,,,,,,,,,,,,
03/03/2021,136,195,,,,,,,,,,,,,,,,,,,,,
03/02/2021,140,205,,,,,,,,,,,,,,,,,,,,,
03/01/2021,69,83,,,,,,,,,,,,,,,,,,,,,
02/28/2021,80,245,,,,,,,,,,,,,,,,,,,,,
02/27/2021,69,112,,,,,,,,,,,,,,,,,,,,,
02/26/2021,134,276,,,,,,,,,,,,,,,,,,,,,
02/25/2021,104,173,,,,,,,,,,,,,,,,,,,,,
02/24/2021,107,173,,,,,,,,,,,,,,,,,,,,,
02/23/2021,,,,,,,,,,,,,,,,,,,,,,,
02/22/2021,,,,,,,,,,,,,,,,,,,,,,,
02/21/2021,,,,,,,,,,,,,,,,,,,,,,,
02/20/2021,,,,,,,,,,,,,,,,,,,,,,,
02/19/2021,,,,,,,,,,,,,,,,,,,,,,,
02/18/2021,,,,,,,,,,,,,,,,,,,,,,,
02/17/2021,,,,,,,,,,,,,,,,,,,,,,,
02/16/2021,,,,,,,,,,,,,,,,,,,,,,,
02/15/2021,,,,,,,,,,,,,,,,,,,,,,,
02/14/2021,,,,,,,,,,,,,,,,,,,,,,,
02/13/2021,,,,,,,,,,,,,,,,,,,,,,,
02/12/2021,,,,,,,,,,,,,,,,,,,,,,,
02/11/2021,,,,,,,,,,,,,,,,,,,,,,,
02/10/2021,62,111,,,,,,,,,,,,,,,,,,,,,
02/09/2021,38,66,,,,,,,,,,,,,,,,,,,,,
02/08/2021,56,69,,,,,,,,,,,,,,,,,,,,,
02/07/2021,60,69,,,,,,,,,,,,,,,,,,,,,
02/06/2021,51,105,,,,,,,,,,,,,,,,,,,,,
02/05/2021,79,116,,,,,,,,,,,,,,,,,,,,,
02/04/2021,55,95,,,,,,,,,,,,,,,,,,,,,
02/03/2021,62,91,,,,,,,,,,,,,,,,,,,,,
02/02/2021,59,53,,,,,,,,,,,,,,,,,,,,,
02/01/2021,,,,,,,,,,,,,,,,,,,,,,,
01/31/2021,16,82,,,,,,,,,,,,,,,,,,,,,
01/30/2021,53,59,,,,,,,,,,,,,,,,,,,,,
01/29/2021,42,88,,,,,,,,,,,,,,,,,,,,,
01/28/2021,,,,,,,,,,,,,,,,,,,,,,,
01/27/2021,42,88,,,,,,,,,,,,,,,,,,,,,
01/26/2021,60,81,,,,,,,,,,,,,,,,,,,,,
01/25/2021,17,52,,,,,,,,,,,,,,,,,,,,,
01/24/2021,39,46,,,,,,,,,,,,,,,,,,,,,
01/23/2021,50,79,,,,,,,,,,,,,,,,,,,,,
01/22/2021,49,90,,,,,,,,,,,,,,,,,,,,,
01/21/2021,74,112,,,,,,,,,,,,,,,,,,,,,
01/20/2021,51,85,,,,,,,,,,,,,,,,,,,,,
01/19/2021,40,41,,,,,,,,,,,,,,,,,,,,,
01/18/2021,26,39,,,,,,,,,,,,,,,,,,,,,
01/17/2021,32,48,,,,,,,,,,,,,,,,,,,,,
01/16/2021,67,156,,,,,,,,,,,,,,,,,,,,,
01/15/2021,,,,,,,,,,,,,,,,,,,,,,,
01/14/2021,,,,,,,,,,,,,,,,,,,,,,,
01/13/2021,,,,,,,,,,,,,,,,,,,,,,,
01/12/2021,35,63,,,,,,,,,,,,,,,,,,,,,
01/11/2021,,,,,,,,,,,,,,,,,,,,,,,
01/10/2021,,,,,,,,,,,,,,,,,,,,,,,
01/09/2021,,,,,,,,,,,,,,,,,,,,,,,
01/08/2021,65,156,,,,,,,,,,,,,,,,,,,,,
01/07/2021,102,233,,,,,,,,,,,,,,,,,,,,,
01/06/2021,,,,,,,,,,,,,,,,,,,,,,,
01/05/2021,,,,,,,,,,,,,,,,,,,,,,,
01/04/2021,,,,,,,,,,,,,,,,,,,,,,,
01/03/2021,,,,,,,,,,,,,,,,,,,,,,,
01/02/2021,29,35,,,,,,,,,,,,,,,,,,,,,
01/01/2021,60,96,,,,,,,,,,,,,,,,,,,,,
12/31/2020,77,130,,,,,,,,,,,,,,,,,,,,,
12/30/2020,32,115,,,,,,,,,,,,,,,,,,,,,
12/29/2020,,,,,,,,,,,,,,,,,,,,,,,
12/28/2020,,,,,,,,,,,,,,,,,,,,,,,
12/27/2020,,,,,,,,,,,,,,,,,,,,,,,
12/26/2020,,,,,,,,,,,,,,,,,,,,,,,
12/25/2020,118,164,,,,,,,,,,,,,,,,,,,,,
12/24/2020,,,,,,,,,,,,,,,,,,,,,,,
12/23/2020,,,,,,,,,,,,,,,,,,,,,,,
12/22/2020,,,,,,,,,,,,,,,,,,,,,,,
12/21/2020,,,,,,,,,,,,,,,,,,,,,,,
12/20/2020,119,230,,,,,,,,,,,,,,,,,,,,,
12/19/2020,,,,,,,,,,,,,,,,,,,,,,,
12/18/2020,,,,,,,,,,,,,,,,,,,,,,,
12/17/2020,129,227,,,,,,,,,,,,,,,,,,,,,
12/16/2020,,,,,,,,,,,,,,,,,,,,,,,
12/15/2020,,,,,,,,,,,,,,,,,,,,,,,
12/14/2020,,,,,,,,,,,,,,,,,,,,,,,
12/13/2020,130,236,,,,,,,,,,,,,,,,,,,,,
12/12/2020,194,354,,,,,,,,,,,,,,,,,,,,,
12/11/2020,276,397,,,,,,,,,,,,,,,,,,,,,
12/10/2020,,,,,,,,,,,,,,,,,,,,,,,
12/09/2020,,,,,,,,,,,,,,,,,,,,,,,
12/08/2020,,,,,,,,,,,,,,,,,,,,,,,
12/07/2020,,,,,,,,,,,,,,,,,,,,,,,
12/06/2020,,,,,,,,,,,,,,,,,,,,,,,
12/05/2020,,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,506,747,,,,,,,,,,,,,,,,,,,,,
12/02/2020,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,,,,,,,,,,,,,,,,,,,,,,,
11/30/2020,,,,,,,,,,,,,,,,,,,,,,,
11/29/2020,,,,,,,,,,,,,,,,,,,,,,,
11/28/2020,391,558,,,,,,,,,,,,,,,,,,,,,
11/27/2020,604,950,,,,,,,,,,,,,,,,,,,,,
11/26/2020,,,,,,,,,,,,,,,,,,,,,,,
11/25/2020,335,475,,,,,,,,,,,,,,,,,,,,,
11/24/2020,269,458,,,,,,,,,,,,,,,,,,,,,
11/23/2020,159,254,,,,,,,,,,,,,,,,,,,,,
11/22/2020,,,,,,,,,,,,,,,,,,,,,,,
11/21/2020,489,722,,,,,,,,,,,,,,,,,,,,,
11/20/2020,454,594,,,,,,,,,,,,,,,,,,,,,
11/19/2020,624,835,,,,,,,,,,,,,,,,,,,,,
11/18/2020,388,569,,,,,,,,,,,,,,,,,,,,,
11/17/2020,369,556,,,,,,,,,,,,,,,,,,,,,
11/16/2020,223,336,,,,,,,,,,,,,,,,,,,,,
11/15/2020,389,583,,,,,,,,,,,,,,,,,,,,,
11/14/2020,393,687,,,,,,,,,,,,,,,,,,,,,
11/13/2020,,,,,,,,,,,,,,,,,,,,,,,
11/12/2020,,,,,,,,,,,,,,,,,,,,,,,
11/11/2020,490,726,,,,,,,,,,,,,,,,,,,,,
11/10/2020,529,815,,,,,,,,,,,,,,,,,,,,,
11/09/2020,360,887,,,,,,,,,,,,,,,,,,,,,
11/08/2020,268,451,,,,,,,,,,,,,,,,,,,,,
11/07/2020,,,,,,,,,,,,,,,,,,,,,,,
11/06/2020,410,699,,,,,,,,,,,,,,,,,,,,,
11/05/2020,392,616,,,,,,,,,,,,,,,,,,,,,
11/04/2020,624,870,,,,,,,,,,,,,,,,,,,,,
11/03/2020,200,292,,,,,,,,,,,,,,,,,,,,,
11/02/2020,270,454,,,,,,,,,,,,,,,,,,,,,
11/01/2020,236,449,,,,,,,,,,,,,,,,,,,,,
10/31/2020,452,733,,,,,,,,,,,,,,,,,,,,,
10/30/2020,,,,,,,,,,,,,,,,,,,,,,,
10/29/2020,258,503,,,,,,,,,,,,,,,,,,,,,
10/28/2020,,,,,,,,,,,,,,,,,,,,,,,
10/27/2020,,,,,,,,,,,,,,,,,,,,,,,
10/26/2020,97,179,,,,,,,,,,,,,,,,,,,,,
10/25/2020,,,,,,,,,,,,,,,,,,,,,,,
10/24/2020,352,595,,,,,,,,,,,,,,,,,,,,,
10/23/2020,211,420,,,,,,,,,,,,,,,,,,,,,
10/22/2020,402,666,,,,,,,,,,,,,,,,,,,,,
10/21/2020,202,295,,,,,,,,,,,,,,,,,,,,,
10/20/2020,210,361,,,,,,,,,,,,,,,,,,,,,
10/19/2020,58,137,,,,,,,,,,,,,,,,,,,,,
